Date,P_regime_0,P_regime_1,P_regime_2,P_regime_3,P_regime_4
2012-03-27,0.937875774738948,2.8489594287402492e-127,0.0012251629462170892,0.06089525640200101,3.805912833717296e-06
2012-03-28,0.9742503412670956,1.0673117664593486e-127,0.0004239607918010975,0.025315544328645957,1.0153612457419831e-05
2012-03-29,0.9849227835704767,7.675912633604767e-129,0.00029265353856652024,0.014780497682767428,4.065208189442914e-06
2012-03-30,0.9579813360195581,3.153643005408796e-130,0.00015148981838014402,0.04186074163569486,6.432526366945261e-06
2012-04-02,0.9815607948796704,6.057749224081e-134,3.1213088442187636e-05,0.018407406713443354,5.853184439424455e-07
2012-04-03,0.92662878704506,3.3116813460599823e-132,9.100280908481109e-05,0.07327282850861348,7.381637241759533e-06
2012-04-04,0.9487391423914789,5.277077343216433e-130,0.00010966020403680074,0.051083863973564306,6.733343091991637e-05
2012-04-05,0.9494876114215365,6.853193289877167e-131,8.218055925069404e-05,0.05039334969392107,3.6858325291772846e-05
2012-04-09,0.9622802048014024,5.3089362967951245e-126,0.00010151470032897143,0.025157888151423845,0.01246039234684479
2012-04-10,0.5149804281200187,7.485771335575594e-117,0.0016926592616504283,0.013536916599189612,0.46978999601914123
2012-04-11,0.6849282243844722,1.2367897695777283e-117,0.002594331758439134,0.01899305948319147,0.2934843843738972
2012-04-12,0.9922742306530495,5.112140900512423e-123,0.0009718748435862962,0.005314396594305894,0.0014394979090583235
2012-04-13,0.5212306546675486,1.3267912039923532e-117,0.004991829111383105,0.0033077885116111687,0.4704697277094571
2012-04-16,0.8149439607212421,5.325575694071129e-117,0.0309405867036183,0.012831299505535384,0.14128415306960423
2012-04-17,0.8978332958656777,3.952095751581304e-118,0.09409157489007795,0.006949269412407063,0.001125859831837275
2012-04-18,0.9065562986025917,1.2590046032514027e-118,0.08798167000177744,0.0049913279203361765,0.0004707034752947602
2012-04-19,0.9522210136168694,1.6434463586137575e-118,0.035859458191983336,0.002803002118678362,0.009116526072468881
2012-04-20,0.9449576006630266,6.555968860974934e-121,0.05123619382130795,0.003713785920641258,9.241959502418004e-05
2012-04-23,0.8154605124151986,1.3016817445466707e-117,0.1803136192058838,0.002623242300945645,0.0016026260779720219
2012-04-24,0.827348410407111,3.325524288500643e-117,0.1616928679361782,0.0031077763470395005,0.007850945309671164
2012-04-25,0.7785014701295051,1.3814832038568601e-117,0.2166914362816155,0.004513561718459597,0.0002935318704197777
2012-04-26,0.9506199387157057,3.8960213828268364e-122,0.04808146680755098,0.0012942410346689604,4.353442074304195e-06
2012-04-27,0.9776276301474026,9.554659861748036e-123,0.02072445504867417,0.001641940177114237,5.974626809014626e-06
2012-04-30,0.95811926543316,8.869522847468174e-122,0.040123100643884475,0.0017500693631001666,7.564559855475039e-06
2012-05-01,0.9798797910428216,2.489366432509985e-123,0.017637690910993438,0.0024754007683286667,7.117277856444585e-06
2012-05-02,0.9929624920882877,3.1661126946555723e-124,0.0053869928978946486,0.001608566511426112,4.194850239162861e-05
2012-05-03,0.9933486192225114,2.3065427479687907e-122,0.0019761674300006384,0.0008876494679117701,0.00378756387957618
2012-05-04,0.8957867099236444,1.1491226313772882e-116,0.010656058416519369,0.0012217288672140435,0.09233550279262207
2012-05-07,0.9615372038878042,2.0529698524516333e-118,0.021155427297984412,0.0010996247273640691,0.01620774408684731
2012-05-08,0.901667032729167,1.8909883013045564e-117,0.015199672627961876,0.0010143885421045418,0.08211890610076664
2012-05-09,0.2137847765689639,1.593520888442593e-117,0.0017200687424363892,0.0003357146991594284,0.7841594399894403
2012-05-10,0.9916784118272627,1.1391814368552933e-123,0.001863920505294567,0.0013113541017050938,0.005146313565737493
2012-05-11,0.9441838033368526,1.9033335084842335e-123,0.0023527397220785454,0.0015278177368403805,0.05193563920422844
2012-05-14,0.0007901209028469099,5.7656714474322885e-117,2.583059468237444e-05,9.231467812843554e-06,0.9991748170346578
2012-05-15,0.004563819275948574,2.3206844214995536e-118,4.2087522858898646e-05,5.216674654688536e-05,0.9953419264546457
2012-05-16,0.03281501072398016,4.273442720743097e-117,0.002035621388649881,0.0005424449779803364,0.9646069229093897
2012-05-17,4.57826483500329e-06,7.840998607212491e-114,1.1753665913714562e-06,1.775486319328568e-07,0.9999940688199417
2012-05-18,5.3588401566567485e-06,8.694579822419942e-114,1.0885977326910818e-06,1.269001888182862e-07,0.9999934256619218
2012-05-21,0.07426534437827995,5.672412703892464e-110,0.377483327358875,0.003518179190610759,0.5447331490722344
2012-05-22,0.09312942159024641,8.437088741541485e-111,0.4693971717890206,0.00262258766792877,0.4348508189528041
2012-05-23,0.13939130231716232,6.693029069151275e-111,0.49910970501632146,0.004299995968520763,0.3571989966979956
2012-05-24,0.2246490073300093,4.345931893253587e-113,0.7587218812264148,0.0060072247276047675,0.01062188671597116
2012-05-25,0.6548710893173222,1.9559958534676117e-117,0.33958253637682584,0.0031727421414198633,0.0023736321644321546
2012-05-29,0.7840615093824788,3.645252658963657e-116,0.1572564275371565,0.0059363014431543055,0.052745761637210384
2012-05-30,0.0042386048033046155,5.381524769032931e-109,0.01881714921628476,0.0001105543484686673,0.976833691631942
2012-05-31,0.003379505734050253,2.5480050512643977e-111,0.002604826872921008,3.3814533167511035e-05,0.9939818528598613
2012-06-01,2.6699360280724624e-08,8.987042754337454e-100,2.960306685547064e-06,6.839147525340756e-10,0.9999970123100393
2012-06-04,1.788080071590521e-07,3.0574419937484474e-102,1.4337293714467e-05,1.056234930555774e-08,0.9999854733359291
