method,method_type,quality_score,stability_score,overall_score,silhouette,calinski_harabasz,davies_bouldin,avg_max_prob,entropy_ratio,high_confidence,regime_balance,switch_rate
kmeans_gaussian_kernel,kmeans,0.24101496743580364,0.7957854431110336,0.46292315770589565,0.13792815054705698,540.5263819591954,1.9607006218277891,0.945571234151351,0.09392241290406968,0.9408080175383652,0.7914011913962752,0.08894456623864704
gmm_spherical,gmm,0.1704807387061255,0.8704499690489622,0.4504684308432602,0.060977560870580656,423.5603010068715,2.1143097257176366,0.9677911846236813,0.04978659570235706,0.9614782336360789,0.5152876116557712,0.08800501096147824
kmeans_softmax_distance,kmeans,0.2091289523939503,0.69972287709865,0.4053665222758302,0.13792815054705698,540.5263819591954,1.9607006218277891,0.8392845173451732,0.2772690809044255,0.803946132164109,0.7914011913962752,0.08894456623864704
gmm_diag,gmm,0.08580294590291965,0.8455665610195401,0.3897083919495678,0.053903816941396565,439.79319023803697,2.55683250486017,0.9767988791497579,0.035220758845649965,0.970873786407767,0.6756467362454751,0.06827435014093329
gmm_full,gmm,0.07854428395529928,0.8343751134424907,0.3808766157501759,0.06775020339625207,430.8162363175263,2.6242194134282295,0.9896661945285478,0.01724243405637747,0.9874725963044159,0.7834696761596041,0.04290635765737551
gmm_tied,gmm,0.1561098115596126,0.709076519635735,0.37729649479006155,0.16360500047733556,328.1722061529281,2.2755729384845584,0.9883615262757934,0.019549791092341163,0.9887253366739743,1.4083807201937748,0.02067021609771375
kmeans_exponential_decay,kmeans,0.15768029925252713,0.5234574200700434,0.30399114757953366,0.13792815054705698,540.5263819591954,1.9607006218277891,0.6677890068737626,0.5325312213077461,0.471656749138741,0.7914011913962752,0.08894456623864704
kmeans_power_distance,kmeans,0.08921752487667223,0.300279733790915,0.17364240844236933,0.13792815054705698,540.5263819591954,1.9607006218277891,0.4395797589542463,0.8101242396700564,0.005324146570623238,0.7914011913962752,0.08894456623864704
kmeans_inverse_distance,kmeans,0.05514902182577071,0.2647184134318949,0.13897677846822037,0.13792815054705698,540.5263819591954,1.9607006218277891,0.32601808211790784,0.9233378276295002,0.0,0.7914011913962752,0.08894456623864704
