index,model_type,avg_rmse,avg_mae,avg_mape,best_rmse,best_window
SPX,Single_GARCH_LSTM,7.605119480946055e-05,2.2927779566789237e-05,0.16148772053629531,6.99474735256898e-05,5
SPX,Dual_GARCH_LSTM,8.556346057336931e-05,2.4478566899895118e-05,0.165653650699746,7.904646252781218e-05,5
SPX,Triple_GARCH_LSTM,8.749255294156834e-05,2.5035163655077127e-05,0.16859837798972754,8.281281083558585e-05,5
NDX,LSTM_Baseline,8.437565772725037e-05,3.0901804062854195e-05,0.16110912333564534,7.747199489066897e-05,22
NDX,Single_GARCH_LSTM,7.564156090854421e-05,2.9209892209236475e-05,0.13135413325771894,6.821034726502812e-05,5
NDX,Dual_GARCH_LSTM,7.769343643095416e-05,2.935518806958534e-05,0.13122969897639614,7.221242762682644e-05,5
NDX,Triple_GARCH_LSTM,8.689695208492051e-05,3.1146436190814665e-05,0.14376570649560003,8.315871309679825e-05,5
RTY,LSTM_Baseline,0.00014353526278093333,4.267558463074917e-05,0.16951595782108364,0.000128887168521,22
