index,n_observations,mean_return,std_return,skewness,kurtosis,jarque_bera_stat,jarque_bera_pvalue,mean_rv22,std_rv22,rv22_autocorr_lag1,rv22_autocorr_lag5,rv22_autocorr_lag22,var_1pct,var_5pct,max_drawdown,max_gain,return_autocorr_lag1,return_autocorr_lag5
SPX,4738,0.0003221473525191823,0.012369812136375646,-0.5288611225277527,12.587736985992686,31501.75751673748,0.0,0.00014607568565799377,0.0003168382105474646,0.9941030027927336,0.9483833398524789,0.5395122406242928,-0.03586341689822171,-0.01863522346445817,-0.1276521411564726,0.1095719593475665,-0.12140049531052838,-0.009380371410152615
NDX,4738,0.0005344689945196984,0.014130318861395647,-0.34733540010882996,7.565854272445058,11395.821489329284,0.0,0.00019002966183590426,0.0003099367260925533,0.9929889069099649,0.9411231785632975,0.5205359703220703,-0.04116888982919539,-0.02303121870030571,-0.130031518455528,0.1184933064463562,-0.10378424417849848,0.0005242591884445148
RTY,4740,0.0002352686744974799,0.015887511509221682,-0.5590440649287987,7.5640642373772256,11546.87479852627,0.0,0.00024095164118554066,0.00041898646870365514,0.9947208339733273,0.9461851260036098,0.5479197793493451,-0.04261029539620806,-0.024739188454011615,-0.1534409730143702,0.0897593634629787,-0.09305512911878909,-0.01582122581728845
