actual_returns,VaR_1,regime
0.0013913716672799,-0.0719521862654382,3
0.0071308157471916,-0.0717389223065303,3
-0.0053294699788278,-0.07119629262239786,3
0.0025989980516341,-0.07082610516370727,3
-0.0144296359236868,-0.07072954963728201,3
0.0014796894139731,-0.07071475602662282,3
-0.0004667147609008,-0.07045479233643841,3
0.0121362248594774,-0.06922920745192312,3
-0.0117624316011841,-0.06869662063030733,3
0.0153874941119565,-0.06814414171530657,3
0.0079789132810224,-0.06689852186085922,3
-0.001337920971957,-0.06603737033372938,3
0.001491346543466,-0.06533963329621616,3
0.0082081430563129,-0.06397997631930846,3
-0.0137552761323524,-0.06276380609433135,3
0.0007051144392339,-0.06246969765011566,3
0.0008111094186289,-0.06247951070386585,3
0.0065961873602671,-0.06236776976022674,3
0.0018399676228652,-0.06244326817139186,3
0.0010887194437443,-0.061548940274085036,3
-0.0156584274326468,-0.06057227518069247,3
0.008233828149355,-0.06034701869961819,3
0.0058716602322521,-0.06014312296044338,3
-4.667950271949269e-05,-0.06001072073236177,3
0.0097590802534248,-0.06033268888748808,3
-0.0079607927807647,-0.060671970626100524,3
-0.0246935690498705,-0.06083343139118933,3
0.0071496934624208,-0.062205034514692434,3
-0.003477286902401,-0.0628012708556534,3
0.0131304718503103,-0.06352674797934448,3
0.0270139002807463,-0.06391936785027647,3
0.0152924578240742,-0.06545535471206525,3
0.0007394818989828,-0.06673920153934684,3
-0.0005016132013816,-0.06740578073615756,3
-0.0016975928138463,-0.06755488959065693,3
-0.001644859473688,-0.06773779675716002,3
-0.0066530455740902,-0.06743572705789584,3
-0.0243427017872612,-0.06727920690086815,3
0.0070876541289585,-0.06818075297024451,3
0.0070542101159872,-0.06862389189103799,3
-0.0008459146914163,-0.06887429799024801,3
0.00355874668112,-0.06914104572565317,3
0.0017077341848751,-0.06934903664248056,3
0.0013785104652557,-0.0690324905188777,3
0.0056561976860083,-0.06916988088598264,3
-0.008563583670888,-0.06879204407754909,3
0.008920545030386,-0.06910852585018483,3
0.0111287603925262,-0.0688772832067267,3
0.0030532703877879,-0.06885805162716468,3
0.0123142780888799,-0.06794808209368901,3
-0.0031287903358617,-0.06752539874225588,3
0.0091541442922095,-0.06707844172648836,3
-0.0084262953615085,-0.06655119640158637,3
-0.0033936821564017,-0.06495282222112746,3
0.0183534100910477,-0.06350166138075833,3
-0.0068563003074863,-0.06297203534987066,3
0.0076035864924596,-0.06258754863833207,3
0.0144228700210066,-0.06242186724268105,3
-0.0043349228180262,-0.06298268891198909,3
-0.0366513068396788,-0.06360912034543414,3
-0.0046692154881357,-0.07047781230892326,3
0.0084265325263508,-0.07124191981732653,3
0.0100028128645752,-0.07203564609685198,3
0.0136017996936666,-0.07253065763592575,3
-0.0013469233518887,-0.0731993149345943,3
-0.0136584447813776,-0.07334831417907538,3
-0.012932889580562,-0.07379943781964803,3
-0.0087621144315647,-0.07415160368124533,3
