Date,Asset,Soft_Weighted_Forecast,Actual_RV22,RMSE,MAE,MAPE
2018-08-21,SPX,0.35894644,0.3676496357142403,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-08-22,SPX,0.35896483,0.3665465768201706,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-08-23,SPX,0.3577712,0.3596467150480584,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-08-24,SPX,0.35440007,0.3439223525985915,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-08-27,SPX,0.3481541,0.3614857976816832,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-08-28,SPX,0.3512633,0.3460732378426311,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-08-29,SPX,0.34512138,0.3457161684678083,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-08-30,SPX,0.3422961,0.3442442224797025,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-08-31,SPX,0.34081557,0.3438540298689296,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-04,SPX,0.3382337,0.3359170457364536,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-05,SPX,0.33364472,0.3307808599019319,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-06,SPX,0.32970926,0.3311283424058642,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-07,SPX,0.32745454,0.3299680682751574,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-10,SPX,0.3251033,0.3313118014786366,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-11,SPX,0.32358813,0.3357892072349465,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-12,SPX,0.32454225,0.3161362260734986,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-13,SPX,0.319028,0.3207432293153709,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-14,SPX,0.31697863,0.3044231028869514,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-17,SPX,0.31041923,0.293017460704744,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-18,SPX,0.30401626,0.2782156852468082,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-19,SPX,0.2949354,0.2739080768675031,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-20,SPX,0.2875472,0.2981856864619585,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-21,SPX,0.29014593,0.296433572378556,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-24,SPX,0.29080182,0.3015936517684316,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-25,SPX,0.29415065,0.301108778630703,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-26,SPX,0.29636,0.2894448254571203,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-27,SPX,0.29536247,0.2664277211044386,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-09-28,SPX,0.28732017,0.2663934608981381,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-01,SPX,0.2814843,0.2571946559460146,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-02,SPX,0.2752642,0.2474280901520326,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-03,SPX,0.26891005,0.2476763688734891,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-04,SPX,0.26493922,0.2785856285792203,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-05,SPX,0.272092,0.2887347126519681,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-09,SPX,0.28182834,0.2816087006678481,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-12,SPX,0.28375834,0.7178377700523071,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-15,SPX,0.41865218,0.7191216505202576,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-16,SPX,0.5083728,0.7944193162896428,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-17,SPX,0.6784286,0.789466159406312,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-18,SPX,0.7167696,0.8179174404313087,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-19,SPX,0.8022253,0.8176958362946724,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-22,SPX,0.79260474,0.8111312612585833,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-23,SPX,0.7873778,0.8158418893181995,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-26,SPX,0.78386176,1.034310482233559,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-30,SPX,0.9044404,1.0675635650640791,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-10-31,SPX,0.97796315,1.0796840011997106,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-11-01,SPX,1.0115056,1.0924622931958337,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-11-02,SPX,1.0373844,1.0970255846560475,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-11-05,SPX,1.0487618,1.0928712393915327,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-11-06,SPX,1.0349988,1.0938170656071504,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-11-07,SPX,1.0218844,1.1434124029870247,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-11-08,SPX,1.1040319,1.143885859188338,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-11-09,SPX,1.0892836,1.0240122752536365,0.07931506097838002,0.05041782932858084,7.55961134494091
2018-11-13,SPX,1.1123829,0.994932321882449,0.07931506097838002,0.05041782932858084,7.55961134494091
