Asset,Hard_RMSE,Hard_MAE,Hard_MAPE,Hard_Regime,Hard_Window,Soft_RMSE,Soft_MAE,Soft_MAPE,RMSE_Improvement_Pct
SPX,0.054977480009822,0.0404906562693548,0.086890470813309,3,5,0.07931506097838002,0.05041782932858084,7.55961134494091,-44.26827305327562
RTY,0.1118345868027584,0.0698397367615975,0.0873853752961169,0,22,0.11235081286618177,0.07026491007997585,8.79572662321033,-0.4615978635784968
NDX,0.0568476893907915,0.0418144757002504,0.0588524708178303,3,5,0.11030713608546254,0.06909282337239286,7.425931156216438,-94.03978819116382
