Date,VaR_1pct,VaR_5pct,Actual_Return,Volatility_Forecast_Raw,Volatility_Forecast_Calibrated,RV22_Forecast,Calibration_Factor,Violation_1pct,Violation_5pct
2018-08-21,-0.02982789571776149,-0.01475043376798225,0.0036932053747784,0.1625997316334585,0.009818824374001119,0.5816508,0.060386473429951695,False,False
2018-08-22,-0.02987128079765489,-0.014771888474460424,-0.0014502874811623,0.16227175018804385,0.00979901873116207,0.57930666,0.060386473429951695,False,False
2018-08-23,-0.029790374233167934,-0.014731878715402925,0.0096059329548974,0.1617851970978804,0.009769637505910653,0.5758379,0.060386473429951695,False,False
2018-08-24,-0.029671822904902247,-0.014673252939979953,0.009801647546749,0.16131954455225025,0.00974151839083637,0.5725279,0.060386473429951695,False,False
2018-08-27,-0.02956542816805248,-0.014620638818822558,0.0014699877988919,0.16094442857989552,0.00971886646013862,0.5698684,0.060386473429951695,False,False
2018-08-28,-0.029356583085842814,-0.014517361149420354,0.0118093901678107,0.1598001820456353,0.0096497694472002,0.56179416,0.060386473429951695,False,False
2018-08-29,-0.028621091115156892,-0.014153647071057616,-0.0022884636053742,0.15610459780078695,0.009426606147390517,0.5361102,0.060386473429951695,False,False
2018-08-30,-0.028301896081671173,-0.013995799355447683,0.0015532237084095,0.1540511721356369,0.009302607013021554,0.5220988,0.060386473429951695,False,False
2018-08-31,-0.02777751732848862,-0.013736484580401363,-0.0042194569722819,0.15100142082414025,0.0091184432864819,0.50163144,0.060386473429951695,False,False
2018-09-04,-0.027263159178801143,-0.013482125174971726,-0.0130812306402228,0.14827634673136508,0.008953885672183883,0.48368925,0.060386473429951695,False,False
2018-09-05,-0.026595401524820414,-0.013151906940963324,-0.0093601094151661,0.1448941369037785,0.008749645948295803,0.46187484,0.060386473429951695,False,False
2018-09-06,-0.027034695578419393,-0.013369145793599572,-0.0030785938583488,0.1475629865515062,0.008910808366636849,0.47904637,0.060386473429951695,False,False
2018-09-07,-0.02728633893553261,-0.013493587983802117,0.0023417231095778,0.14897486517713468,0.00899606673774968,0.48825723,0.060386473429951695,False,False
2018-09-10,-0.027266525559804702,-0.01348378991124748,0.008049229212693,0.14862546429318105,0.008974967650554411,0.48596963,0.060386473429951695,False,False
2018-09-11,-0.02722118721406645,-0.01346136927949089,-0.0026420517465121,0.14822184540257705,0.008950594529141126,0.48333374,0.060386473429951695,False,False
2018-09-12,-0.0274756954173297,-0.013587228187915574,0.0097849582188306,0.14963499226147242,0.009035929484388432,0.49259388,0.060386473429951695,False,False
2018-09-13,-0.027356184861525832,-0.013528128057130618,-0.0021433511060638,0.1492016253262678,0.009009759983470278,0.4897447499999999,0.060386473429951695,False,False
2018-09-14,-0.02761129873249674,-0.013654286479188166,-0.014789094551385,0.15048786118367277,0.009087431230898115,0.4982251200000001,0.060386473429951695,False,True
2018-09-17,-0.027445671475112704,-0.013572380805608887,0.0079938104561233,0.1502511836286762,0.009073139108011849,0.4966591999999999,0.060386473429951695,False,False
2018-09-18,-0.028226537229192404,-0.013958533040289644,-0.0005445547331979,0.15465817587064826,0.009339261827937697,0.52622133,0.060386473429951695,False,False
2018-09-19,-0.02830750804724331,-0.01399857457389632,0.0104547227790227,0.1551059901545333,0.009366303753293075,0.5292731,0.060386473429951695,False,False
2018-09-20,-0.02823904105327809,-0.013964716407388937,-0.00502911303666,0.1549474353684911,0.009356729188918545,0.52819157,0.060386473429951695,False,False
2018-09-21,-0.028567334831731073,-0.014127063616904889,0.0023448566496027,0.15669227224664967,0.009462093734701067,0.5401543,0.060386473429951695,False,False
2018-09-24,-0.028741813476594404,-0.014213346461639772,0.0019110722243219,0.15764934622013616,0.009519888056771508,0.54677296,0.060386473429951695,False,False
2018-09-25,-0.02881183957157274,-0.014247975631789152,-1.3222021541433029e-05,0.15761910359528702,0.009518061811309604,0.5465632,0.060386473429951695,False,False
2018-09-26,-0.0287600938372845,-0.01422238643053887,0.0087516503779755,0.15733350507181176,0.009500815523660132,0.5445843,0.060386473429951695,False,False
2018-09-27,-0.028559169729668713,-0.014123025826297087,-0.0002516841220268,0.1561967727521341,0.009432172267640948,0.5367435,0.060386473429951695,False,False
2018-09-28,-0.028455323763618996,-0.014071672118386128,0.002330896551331,0.15562408086621604,0.00939758942428841,0.5328148,0.060386473429951695,False,False
2018-10-01,-0.028260692150537784,-0.013975423266469954,-0.0022483057161136,0.15443404005358638,0.00932572705637599,0.5246972,0.060386473429951695,False,False
2018-10-02,-0.027827317060440074,-0.013761111448309308,0.0011987652190094,0.15209406927652014,0.009184424473219816,0.50891733,0.060386473429951695,False,False
2018-10-03,-0.027528439611911256,-0.013613311145834642,-0.0194923616238017,0.15045646002626925,0.009085535025740898,0.4980172199999999,0.060386473429951695,False,True
2018-10-04,-0.02707863715556899,-0.014296362508314023,-0.0122225900526364,0.1491308394421733,0.00900548547356119,0.48928016,0.060386473429951695,False,False
2018-10-05,-0.028635193187815034,-0.015118157533434621,-0.0062622943662033,0.1579681009225942,0.009539136529142163,0.54898626,0.060386473429951695,False,False
2018-10-09,-0.02926656467282436,-0.015451494679438276,-0.0453903215760689,0.16159551917730214,0.009758183525199405,0.57448846,0.060386473429951695,True,True
2018-10-12,-0.032420521991981525,-0.016212045073119553,-0.0124478968289901,0.1614300157963196,0.009748189359681136,0.5733123,0.060386473429951695,False,False
2018-10-15,-0.037002397159808326,-0.018503234794203845,0.0289680139153142,0.18472885043170215,0.011155123818339503,0.75074446,0.060386473429951695,False,False
