actual_returns,VaR_5
-0.0020899988340449,-1.2783635261052264
-0.016112218853989,-1.267651277051488
-0.0036598389407683,-1.2646934801469945
-0.0079588881637553,-1.259135684662417
0.0022933797819799,-1.2559330407647609
-0.0049366284442108,-1.2538333138972972
0.0162054263120942,-1.2513971162625774
-0.0026679134829168,-1.2539680911656
-0.0022602822114175,-1.2566691162602865
-0.0164277114962793,-1.2573464040582027
0.0061183116733212,-1.2575150226517853
0.0040188206893106,-1.2584820811624235
0.0186666794923939,-1.2668845665376915
0.0567774363290502,-1.2801236128023807
-0.0042855296948897,-1.3319197709212511
0.007088207843314,-1.383537705507348
0.0146198228938727,-1.42264789116305
-0.0178718433485796,-1.4548687519665415
-0.0094405036826609,-1.469699532277542
-0.0137838318600479,-1.4808433027981691
-0.0142668276902313,-1.5344611476308119
0.0010867267496478,-1.5371079118737077
0.0079837752331993,-1.5448640745353495
0.000304062418142,-1.5490341325150396
0.0164130236412078,-1.544949326972234
0.0178813355491555,-1.5462702857552613
0.0145860208434155,-1.5475573563461742
-0.0072835347903189,-1.552160165990487
0.0007764146815317,-1.5579605399610876
0.0035112745238683,-1.5541588446314316
-0.0002411239592159,-1.5511937907937015
-0.0073353772939682,-1.548398481953539
0.0042185416706514,-1.555818512258028
-0.0126050529636938,-1.5517322043331119
0.0053384360910718,-1.5545352495934743
-0.006730374724729,-1.5464998266021281
-0.004213918175617,-1.4731736261728887
0.0047666657902206,-1.418570641507424
-0.0139124559587235,-1.3763702095721775
-0.0060263871069541,-1.346820185194295
0.006411729532926,-1.3348387223433815
-0.011886669805321,-1.3237761306198594
-0.0449384068843479,-1.3106583935451117
-0.0044980876471877,-1.5159174793345118
0.0093515991551112,-1.3978351172405672
-0.0022027748501026,-1.4017952927666344
0.0099696420216643,-1.4220293164614095
0.008959879079123,-1.4290785384453026
-0.0157363210223729,-1.432036819952944
-0.0075186424396116,-1.428664633622874
0.0010673099354417,-1.4245012673123745
