Date,Price_SPX,Returns_SPX,Volatility_SPX,Price_NDX,Returns_NDX,Volatility_NDX,Price_RTY,Returns_RTY,Volatility_RTY
2021-09-21,4354.19,-0.0008126796836591719,0.06520355224724128,15027.77,0.0010372850960489685,0.1024355541908811,2186.183,0.001822642052878154,0.22814793317380427
2021-09-22,4395.64,0.009474540664091249,0.06712333303533564,15176.51,0.0098490149310906,0.10135802770737605,2218.561,0.014701686717113496,0.22452132491636292
2021-09-23,4448.98,0.012061715863250257,0.07288714287228511,15316.58,0.009187064032058241,0.09197701114929581,2259.041,0.018081599430179948,0.22316530641862128
2021-09-24,4455.48,0.001459942804959862,0.0728777752577159,15329.68,0.0008549167694773924,0.09137415335740527,2248.07,-0.0048683166082129775,0.21868394749337836
2021-09-27,4443.11,-0.0027802175328761427,0.0727682537884233,15204.83,-0.008177678028683969,0.09600445756393236,2281.003,0.014543188177333907,0.23264404966106977
2021-09-28,4352.63,-0.020574321587474437,0.10023896165070985,14770.3,-0.02899473275497964,0.1533877443564344,2229.778,-0.022713229567077994,0.2628876237336262
2021-09-29,4359.46,0.001567936373304978,0.09311707151450904,14752.89,-0.0011794119821149304,0.14280128634881506,2225.308,-0.0020066959425669253,0.2017110051977686
2021-09-30,4307.54,-0.011981220973814677,0.09787973810266039,14689.62,-0.004297873883178516,0.1293165863886631,2204.372,-0.009452671927082776,0.20585136326536518
2021-10-01,4357.04,0.011425952216359555,0.1114475375784699,14791.87,0.006936583598028802,0.1360372245397757,2241.632,0.016761510938914318,0.2281152336458273
2021-10-04,4300.46,-0.013070933999937525,0.12030836637594018,14472.12,-0.021853665579281326,0.16145712303984922,2217.47,-0.010837265654706461,0.23184352237378253
2021-10-05,4345.72,0.010469458977261837,0.13044335295072257,14674.15,0.01386340246862291,0.18272781133584157,2228.358,0.004898085021750955,0.22898180740428056
2021-10-06,4363.55,0.004094493547635241,0.13294562331766577,14766.75,0.006290589306711388,0.18629620099053076,2214.958,-0.0060315496912003675,0.22949001376864228
2021-10-07,4399.76,0.00826404773501655,0.13986321155570394,14897.13,0.008790545240711017,0.1947263674482163,2250.094,0.01573855142939652,0.24788377693041683
2021-10-08,4391.34,-0.0019155742909790841,0.13989728956929492,14820.75,-0.0051403510737408715,0.1952126914633461,2233.089,-0.007586164362646601,0.24258837795758148
2021-10-11,4361.19,-0.006889463790468167,0.14142605899527338,14713.73,-0.00724715440404423,0.19679815939033676,2220.641,-0.005589935812873383,0.24457612164806697
2021-10-12,4350.65,-0.0024196966754627294,0.13832107396643956,14662.11,-0.003514456310465117,0.19475070964615,2234.271,0.006119107416497274,0.2409052193872387
2021-10-13,4363.8,0.0030179781813102643,0.13874211610277679,14774.6,0.007642875007275665,0.20179308599746715,2241.968,0.0034390512151296067,0.2391755458316936
2021-10-14,4438.26,0.016919170336133042,0.15980639743079897,15052.42,0.018629285442919558,0.2321197686835648,2274.177,0.014264177133311212,0.2372605636919635
2021-10-15,4471.37,0.007432441620921371,0.15858884159219472,15146.92,0.006258435346461317,0.23022822522899716,2265.654,-0.003754769731874304,0.23132142316001528
2021-10-18,4486.46,0.00336912271696709,0.15925201820259902,15300.89,0.010113785684193393,0.23910389734999277,2267.843,0.0009657005045408857,0.23118910464795472
2021-10-19,4519.63,0.007366160006043284,0.15576152236542487,15410.72,0.007152374506521206,0.23297788757723903,2275.914,0.003552570477914764,0.2317049615822151
2021-10-20,4536.19,0.0036573205869523144,0.13036112614666168,15388.71,-0.0014292474728746704,0.19721468053436306,2289.765,0.006067462251571551,0.18128086972471347
2021-10-21,4549.78,0.0029914274720985803,0.12988868547932625,15489.59,0.006534061714126517,0.1993211581295965,2296.185,0.0027998579112174763,0.18129594038453567
2021-10-22,4544.9,-0.0010731549583585973,0.12599272327288188,15355.07,-0.00872247273096066,0.2004175384684741,2291.266,-0.002144546888997808,0.17001315819426885
2021-10-25,4566.48,0.0047369422309476855,0.11818780447715989,15514.19,0.01030937633835552,0.20197705222017664,2312.64,0.009285225877248908,0.1534991362615892
2021-10-26,4574.79,0.001818128616510003,0.11821195624770182,15559.49,0.002915652867081724,0.20236828915687352,2296.075,-0.007188585683438692,0.15596927010499878
2021-10-27,4551.68,-0.005064400451443849,0.11996335449256337,15598.39,0.002496961937795713,0.19630129014521447,2252.491,-0.019164428497155085,0.16873477935168793
2021-10-28,4596.42,0.00978134404008955,0.08699466636535064,15778.16,0.011459001522454413,0.12994946370659982,2297.979,0.019993326071722165,0.15737884716829031
2021-10-29,4605.38,0.00194744568057697,0.08695289103747023,15850.47,0.0045724475567685725,0.12870195076145274,2297.191,-0.00034296881626756794,0.1567293667904681
