SPX_SET_True_test,SPX_SET_11_pred
0.0001303206419784,0.00012516181
0.0001188708763034,0.00011824669
8.707564543818081e-05,0.00011083005
8.598842734477807e-05,9.939582e-05
7.473298217276113e-05,8.9589514e-05
6.696731847597752e-05,7.977051e-05
6.670031795255749e-05,7.094503e-05
6.29569020453762e-05,6.609428e-05
6.671615513967798e-05,6.020457e-05
4.208997749371843e-05,6.032276e-05
3.529021268145473e-05,5.276432e-05
3.73480270137905e-05,4.653569e-05
3.461704748268069e-05,4.3460976e-05
3.294374874750023e-05,3.9286933e-05
4.669886363275383e-05,4.1990814e-05
4.777450151875485e-05,5.4380474e-05
5.135390350104957e-05,5.093171e-05
4.6674866562452506e-05,5.217289e-05
5.6028099464593374e-05,5.0068047e-05
6.043883996129246e-05,6.1480765e-05
6.268022802900462e-05,5.916055e-05
6.692821695124268e-05,5.6680557e-05
6.691263678658223e-05,5.8065245e-05
7.135874065046017e-05,5.6678087e-05
7.009768235275342e-05,5.7938923e-05
7.047307082548717e-05,5.728973e-05
7.096799064381633e-05,5.6041164e-05
7.302876554627991e-05,5.669838e-05
7.181349661277072e-05,5.6922425e-05
7.20744535148231e-05,5.7294234e-05
6.836048070435951e-05,5.617869e-05
6.819113957691574e-05,5.4522767e-05
6.84490814882227e-05,5.349267e-05
6.653938123182825e-05,5.293993e-05
6.614926818222987e-05,5.191168e-05
5.988269945640776e-05,5.086017e-05
4.81791745354777e-05,4.967898e-05
4.5422562430509344e-05,4.7498525e-05
3.7062978386048006e-05,4.373533e-05
3.645276687451669e-05,3.998312e-05
2.708526082416709e-05,3.6901347e-05
2.256429434034696e-05,3.3764205e-05
2.112456614146554e-05,3.11439e-05
1.527586239098702e-05,2.9412886e-05
1.531807859937453e-05,2.7444825e-05
1.0716541667903087e-05,2.6005284e-05
1.204380434361528e-05,2.4688146e-05
1.174940142716932e-05,2.448815e-05
1.1459559403752068e-05,2.3666411e-05
1.0592463994397174e-05,2.3165796e-05
1.0453730157910114e-05,2.3348744e-05
1.0150898997745495e-05,2.3089839e-05
1.153243929999473e-05,2.26283e-05
1.0986778936731872e-05,2.3050836e-05
1.029309674611806e-05,2.2624983e-05
1.1517232334342432e-05,2.2424789e-05
1.553950988638345e-05,2.2992854e-05
1.716277271882098e-05,2.6032412e-05
1.6452947369307742e-05,2.8107834e-05
1.6431495814484873e-05,2.6961028e-05
1.8959757379846857e-05,2.5579895e-05
1.961239200503863e-05,2.6106365e-05
1.975624048153093e-05,2.6290116e-05
1.9975232707009947e-05,2.5790405e-05
2.162689676254089e-05,2.516694e-05
2.1673461595098903e-05,2.5775254e-05
2.30909629214398e-05,2.5336587e-05
2.3120779357242552e-05,2.5659394e-05
2.1729172973969026e-05,2.53379e-05
2.212816737462637e-05,2.5156474e-05
2.2375544480018663e-05,2.5063082e-05
2.1138921710489945e-05,2.5058944e-05
2.0844336697385287e-05,2.4784178e-05
2.131080155796285e-05,2.4692605e-05
1.995781376550105e-05,2.483376e-05
2.2145233974102976e-05,2.4597888e-05
2.2018027463213237e-05,2.5911564e-05
2.2647616595182937e-05,2.5468287e-05
2.1941105657594136e-05,2.5946907e-05
