SPX_S_True_test,SPX_S_11_pred
0.0001303206419784,0.00012997905
0.0001188708763034,0.00012346572
8.707564543818081e-05,0.000115863644
8.598842734477807e-05,0.000102931466
7.473298217276113e-05,9.300654e-05
6.696731847597752e-05,8.314074e-05
6.670031795255749e-05,7.424344e-05
6.29569020453762e-05,6.874503e-05
6.671615513967798e-05,6.318969e-05
4.208997749371843e-05,6.205219e-05
3.529021268145473e-05,5.4704866e-05
3.73480270137905e-05,4.8042763e-05
3.461704748268069e-05,4.4218166e-05
3.294374874750023e-05,4.090197e-05
4.669886363275383e-05,4.132838e-05
4.777450151875485e-05,4.9850987e-05
5.135390350104957e-05,4.8863534e-05
4.6674866562452506e-05,5.2998836e-05
5.6028099464593374e-05,4.989139e-05
6.043883996129246e-05,5.836986e-05
6.268022802900462e-05,5.817283e-05
6.692821695124268e-05,5.6929206e-05
6.691263678658223e-05,5.9982533e-05
7.135874065046017e-05,5.831149e-05
7.009768235275342e-05,6.107582e-05
7.047307082548717e-05,6.0010818e-05
7.096799064381633e-05,5.922221e-05
7.302876554627991e-05,5.9247654e-05
7.181349661277072e-05,6.0223534e-05
7.20744535148231e-05,6.0068654e-05
6.836048070435951e-05,5.952503e-05
6.819113957691574e-05,5.824636e-05
6.84490814882227e-05,5.7509784e-05
6.653938123182825e-05,5.7247355e-05
6.614926818222987e-05,5.6256376e-05
5.988269945640776e-05,5.5449513e-05
4.81791745354777e-05,5.366953e-05
4.5422562430509344e-05,5.128401e-05
3.7062978386048006e-05,4.7382106e-05
3.645276687451669e-05,4.3369368e-05
2.708526082416709e-05,4.0429677e-05
2.256429434034696e-05,3.7292302e-05
2.112456614146554e-05,3.4609937e-05
1.527586239098702e-05,3.26503e-05
1.531807859937453e-05,3.070973e-05
1.0716541667903087e-05,2.9356255e-05
1.204380434361528e-05,2.8125593e-05
1.174940142716932e-05,2.7794213e-05
1.1459559403752068e-05,2.711448e-05
1.0592463994397174e-05,2.6654476e-05
1.0453730157910114e-05,2.653072e-05
1.0150898997745495e-05,2.624376e-05
1.153243929999473e-05,2.598292e-05
1.0986778936731872e-05,2.6278984e-05
1.029309674611806e-05,2.6029933e-05
1.1517232334342432e-05,2.5928328e-05
1.553950988638345e-05,2.6123795e-05
1.716277271882098e-05,2.7909418e-05
1.6452947369307742e-05,2.8795073e-05
1.6431495814484873e-05,2.8394177e-05
1.8959757379846857e-05,2.7589142e-05
1.961239200503863e-05,2.856772e-05
1.975624048153093e-05,2.836195e-05
1.9975232707009947e-05,2.7974593e-05
2.162689676254089e-05,2.7760947e-05
2.1673461595098903e-05,2.8590546e-05
2.30909629214398e-05,2.8288605e-05
2.3120779357242552e-05,2.874592e-05
2.1729172973969026e-05,2.8554494e-05
2.212816737462637e-05,2.8408014e-05
2.2375544480018663e-05,2.8419963e-05
2.1138921710489945e-05,2.8482349e-05
2.0844336697385287e-05,2.8308872e-05
2.131080155796285e-05,2.8192031e-05
1.995781376550105e-05,2.8253246e-05
2.2145233974102976e-05,2.8065046e-05
2.2018027463213237e-05,2.8612929e-05
2.2647616595182937e-05,2.8444427e-05
2.1941105657594136e-05,2.9017106e-05
1.9474930343234397e-05,2.9944704e-05
1.8991680378804225e-05,2.9083863e-05
1.934968184631213e-05,2.8708602e-05
1.7453803252994833e-05,2.8402159e-05
1.7717029256100387e-05,2.8300428e-05
1.8596296192029097e-05,2.8086808e-05
1.8939800052030125e-05,2.8186407e-05
1.6483340094894417e-05,2.7936665e-05
1.8213091384718196e-05,2.7534863e-05
1.689831852149714e-05,2.796144e-05
1.7746619538761566e-05,2.7596143e-05
1.7757996926797885e-05,2.755074e-05
1.729023133751533e-05,2.7361015e-05
2.13928696161444e-05,2.719913e-05
3.3192695373795685e-05,2.8947217e-05
3.692653366374e-05,3.9052306e-05
3.652467813097798e-05,3.877424e-05
3.6713595985924e-05,3.6215995e-05
4.91202330390566e-05,3.4746216e-05
5.117655479305191e-05,4.988309e-05
5.846487493859521e-05,4.7319765e-05
5.9301809363570976e-05,5.4102322e-05
5.939367740512651e-05,5.5269873e-05
6.0458336653492894e-05,5.176977e-05
6.166335045568511e-05,5.165267e-05
6.062562573770698e-05,5.163791e-05
6.0705546843621555e-05,5.0044393e-05
6.003775551492635e-05,5.0195147e-05
5.948724729025624e-05,4.9643073e-05
6.022418470779977e-05,4.9070786e-05
5.90854785070961e-05,4.919854e-05
5.980221563366239e-05,4.8919082e-05
6.421080032448489e-05,4.908912e-05
0.0001128775008048,5.402573e-05
0.0001484180874599,0.00017034756
0.0001438342666443,0.00024456278
0.0002095225018697,0.00018729974
0.00020620072156459998,0.00039903095
0.0003092313635631,0.0003023874
0.000336126162601,0.00047076496
0.0004044035848209,0.0004691059
0.0004465786962847,0.00056705804
0.000444341179066,0.0006036092
0.0006639135371474,0.0005220194
0.0008012109246593999,0.0012325123
0.0008766932394358,0.0012019924
0.0012133087384693,0.001254238
0.0016546035967985,0.0022273024
0.0022219947334575,0.0026069134
0.0024528796229476,0.0028995064
0.0025171984101067,0.0028995064
0.00253455580129,0.0028995064
0.0025666688321436,0.0024032595
0.002571353159232,0.0023222165
0.0030556769986171003,0.002191409
0.0030320114159467005,0.0028412186
0.0032092935374774,0.0025363725
0.0032376278429539,0.0026969956
0.0032281341783237,0.0026242612
0.0032321611588663,0.002564951
0.0031846437946632,0.0024853158
0.0031995353065766,0.0025562218
0.0031177143537889002,0.002486519
0.0033204529089161,0.0024116787
0.0033139136887444,0.0026964203
0.0031407772656383,0.0025766431
0.0030147477793226,0.0025279433
0.0029422460539891004,0.0024099576
0.0026299236834509,0.0023116025
0.0022136613560158,0.0022169393
0.0016452847503401,0.002040599
0.0014333744577809,0.0017636644
0.0013985077891032,0.0015641281
0.0014424472088887,0.0013983207
0.001418397920864,0.0013370315
0.0014180314753677,0.0012496656
0.0009306986184649002,0.0011640246
0.0009083223867335,0.0010160314
0.000699267093357,0.00091060356
0.0006883650742722,0.0007819763
0.0006291871285594,0.0007252968
0.0006728728041613,0.0006397164
0.0006174864551417,0.00064722233
0.0005758876018249,0.00057930517
0.0005826775097536,0.00053012744
0.0003383691464286,0.0005012052
0.0003447370001598,0.0004286357
0.0002942638958465,0.0003877019
0.0003049189262051,0.0003321908
0.0003155874476329,0.00033233676
0.0002955543965137,0.00032535946
0.0002708214524972,0.00029674332
0.0003078408082796,0.00026627173
0.0002943115961097,0.00032000718
0.0002739927556831,0.0002976409
0.00021765420373079998,0.00028524024
0.00020895039347889997,0.0002533947
0.0002075667986048,0.00022343862
0.0002114176616989,0.00021105474
0.0002095810181559,0.00020784479
0.00020598542137730002,0.00019369372
0.00018866107815070004,0.00018321806
0.0001812528894769,0.00017253158
0.0001367184187295,0.00016593709
0.0001390625720526,0.00015750804
0.0001586095474088,0.000143737
0.000152519266596,0.00018013307
0.0001570368685416,0.00016704106
0.0001539717479055,0.0001582564
0.0003275364571412,0.00014895566
0.0003103036045019,0.00051502045
0.000295539940795,0.00042255258
0.0002994221954689,0.0003567593
0.0003016035016881,0.00033765985
0.0002646381573644,0.0003043771
0.00026197130002,0.00027281762
0.0002536624757946,0.0002546685
0.0002480772162745,0.00023772799
0.0002827813656104,0.00022362477
0.0002830837480579,0.00027492194
0.0003033746676762,0.0002643601
0.0003116804787424,0.00030021166
0.0003210053056579,0.00029394843
0.0003215997785014,0.0002934406
0.0003208230767089,0.00028146338
0.0003272071179179,0.0002727296
0.0003305173322779,0.0002805206
