SPX_S_True_test,SPX_S_5_pred
0.0001913606248198,0.00017486542
0.0001614102285588,0.00017552033
0.0001517171118142,0.00016953687
0.0001516088537087,0.00015721787
0.0001348104927239,0.00014823272
0.0001350422496494,0.00013701138
0.0001303206419784,0.000129347
0.0001188708763034,0.00012317022
8.707564543818081e-05,0.00011591769
8.598842734477807e-05,0.000101713136
7.473298217276113e-05,9.121497e-05
6.696731847597752e-05,7.977444e-05
6.670031795255749e-05,6.9187576e-05
6.29569020453762e-05,6.258563e-05
6.671615513967798e-05,5.8218528e-05
4.208997749371843e-05,5.776731e-05
3.529021268145473e-05,5.1073464e-05
3.73480270137905e-05,4.4758282e-05
3.461704748268069e-05,4.0857736e-05
3.294374874750023e-05,3.7317495e-05
4.669886363275383e-05,3.7102574e-05
4.777450151875485e-05,4.6273868e-05
5.135390350104957e-05,4.69904e-05
4.6674866562452506e-05,5.192245e-05
5.6028099464593374e-05,5.0176954e-05
6.043883996129246e-05,5.895768e-05
6.268022802900462e-05,5.9392427e-05
6.692821695124268e-05,5.8721365e-05
6.691263678658223e-05,6.170773e-05
7.135874065046017e-05,6.0967715e-05
7.009768235275342e-05,6.3505475e-05
7.047307082548717e-05,6.237653e-05
7.096799064381633e-05,6.148083e-05
7.302876554627991e-05,6.113226e-05
7.181349661277072e-05,6.190969e-05
7.20744535148231e-05,6.127171e-05
6.836048070435951e-05,6.0534345e-05
6.819113957691574e-05,5.9001595e-05
6.84490814882227e-05,5.802253e-05
6.653938123182825e-05,5.7450925e-05
6.614926818222987e-05,5.620585e-05
5.988269945640776e-05,5.517649e-05
4.81791745354777e-05,5.336005e-05
4.5422562430509344e-05,5.0671817e-05
3.7062978386048006e-05,4.6110035e-05
3.645276687451669e-05,4.119278e-05
2.708526082416709e-05,3.734209e-05
2.256429434034696e-05,3.34617e-05
2.112456614146554e-05,3.067879e-05
1.527586239098702e-05,2.8676111e-05
1.531807859937453e-05,2.6878864e-05
1.0716541667903087e-05,2.5567993e-05
1.204380434361528e-05,2.4572366e-05
1.174940142716932e-05,2.4649999e-05
1.1459559403752068e-05,2.4082095e-05
1.0592463994397174e-05,2.3829987e-05
1.0453730157910114e-05,2.3883558e-05
1.0150898997745495e-05,2.3762857e-05
1.153243929999473e-05,2.3527193e-05
1.0986778936731872e-05,2.4012292e-05
1.029309674611806e-05,2.374001e-05
1.1517232334342432e-05,2.3640378e-05
1.553950988638345e-05,2.3948374e-05
1.716277271882098e-05,2.6227983e-05
1.6452947369307742e-05,2.730377e-05
1.6431495814484873e-05,2.6928912e-05
1.8959757379846857e-05,2.6054528e-05
1.961239200503863e-05,2.7324257e-05
1.975624048153093e-05,2.7063863e-05
1.9975232707009947e-05,2.6545078e-05
2.162689676254089e-05,2.6258027e-05
2.1673461595098903e-05,2.7316237e-05
2.30909629214398e-05,2.6884376e-05
2.3120779357242552e-05,2.7418182e-05
2.1729172973969026e-05,2.7164244e-05
2.212816737462637e-05,2.6948357e-05
2.2375544480018663e-05,2.6897587e-05
2.1138921710489945e-05,2.6931417e-05
2.0844336697385287e-05,2.6610101e-05
2.131080155796285e-05,2.6383843e-05
1.995781376550105e-05,2.6465697e-05
2.2145233974102976e-05,2.6183487e-05
2.2018027463213237e-05,2.690514e-05
2.2647616595182937e-05,2.6710024e-05
2.1941105657594136e-05,2.7491535e-05
1.9474930343234397e-05,2.861011e-05
1.8991680378804225e-05,2.7621783e-05
1.934968184631213e-05,2.7113374e-05
1.7453803252994833e-05,2.6696254e-05
1.7717029256100387e-05,2.6477455e-05
1.8596296192029097e-05,2.6157983e-05
1.8939800052030125e-05,2.6321466e-05
1.6483340094894417e-05,2.6046198e-05
1.8213091384718196e-05,2.5518731e-05
1.689831852149714e-05,2.6155281e-05
1.7746619538761566e-05,2.5726738e-05
1.7757996926797885e-05,2.567882e-05
1.729023133751533e-05,2.5402605e-05
2.13928696161444e-05,2.523242e-05
3.3192695373795685e-05,2.7460224e-05
3.692653366374e-05,3.814117e-05
3.652467813097798e-05,3.854009e-05
3.6713595985924e-05,3.6638612e-05
4.91202330390566e-05,3.562007e-05
5.117655479305191e-05,5.098824e-05
5.846487493859521e-05,4.9147013e-05
5.9301809363570976e-05,5.5871747e-05
5.939367740512651e-05,5.759516e-05
6.0458336653492894e-05,5.5131997e-05
6.166335045568511e-05,5.4822514e-05
6.062562573770698e-05,5.4568805e-05
6.0705546843621555e-05,5.2388634e-05
6.003775551492635e-05,5.198443e-05
5.948724729025624e-05,5.0953815e-05
6.022418470779977e-05,4.9908933e-05
5.90854785070961e-05,4.9752198e-05
5.980221563366239e-05,4.9299666e-05
6.421080032448489e-05,4.9452483e-05
0.0001128775008048,5.451839e-05
0.0001484180874599,0.00015412217
0.0001438342666443,0.00022078968
0.0002095225018697,0.00017934307
0.00020620072156459998,0.00036266627
0.0003092313635631,0.00029003812
0.000336126162601,0.0004379721
