mode,window,RMSE,MAE,MAPE
single,5,6.821034726502812e-05,2.7163857332033115e-05,0.12661144271786343
single,11,8.095296801531985e-05,3.079542586870883e-05,0.1347636223710168
single,22,7.776136744528469e-05,2.9670393426967476e-05,0.13268733468427668
