NDX_LSTM_True_test,NDX_LSTM_22_pred
0.00020028057739889996,0.00019998365
0.00020134586289290003,0.00020561283
0.0001512052059094,0.00020947438
0.0001459485546666,0.0001991106
0.0001383200067769,0.00018590246
0.0001422702714542,0.00017097835
0.0001388742237763,0.000158356
0.0001305278360877,0.00014726413
0.0001249331599437,0.00013692093
0.0001249858297159,0.00012801924
0.000134367030677,0.00012179595
0.0001345189756615,0.00012020402
0.0001346373222515,0.000120807694
0.0001336300363961,0.00012289827
0.0001350773892567,0.00012540183
0.0001281395409469,0.0001283749
0.0001159761148609,0.00012950793
7.655251234013051e-05,0.00012739052
7.578699497507515e-05,0.00011629063
7.073603609079085e-05,0.000105505744
5.360039496288288e-05,9.531619e-05
4.746593882957464e-05,8.475814e-05
4.779076021114552e-05,7.632086e-05
4.671874412987336e-05,7.043785e-05
4.8532745497958506e-05,6.6402325e-05
4.993764974096856e-05,6.394061e-05
4.820615489451724e-05,6.2479354e-05
4.3773754171326025e-05,6.141166e-05
4.587745717358849e-05,6.0396596e-05
4.4806049786871794e-05,5.986768e-05
4.575560548450668e-05,5.9432303e-05
5.1294196942453794e-05,5.920633e-05
3.829476010275177e-05,5.9517977e-05
3.9388717727275686e-05,5.8815072e-05
4.108136433768701e-05,5.8397316e-05
5.016172722855431e-05,5.8232872e-05
4.793203340346884e-05,5.8850288e-05
5.604315383274534e-05,5.918654e-05
0.00010857847852109999,6.023779e-05
0.00011853509862619998,6.926905e-05
0.0001148440622155,8.040407e-05
0.0001392160769745,9.0495974e-05
0.0001405406578043,0.00010531206
0.0001438925618782,0.00011903107
0.000167480961463,0.00013141488
0.0002043448013453,0.00014684598
0.00020197601471379998,0.00016840854
0.00021345141346789997,0.00018666712
0.0002252489007111,0.00020392735
0.00022243968821599998,0.00021993727
0.00022433920667709996,0.00023103546
0.00022337685300069998,0.00023831209
0.0002596332522137,0.00024150968
0.0002664908463039,0.00025034745
0.0002633453626551,0.00025864475
0.000263167279591,0.00026434267
0.0002736079692903,0.0002681281
0.000264500687815,0.00027277097
0.0002668290451987,0.00027371265
0.0002678348921841,0.00027393055
0.0002263696674014,0.00027341334
0.000215153515798,0.00026178034
0.0002146180945817,0.00024707615
