NDX_S_True_test,NDX_S_22_pred
7.326121700163391e-05,8.158856e-05
7.481194055834604e-05,7.9863734e-05
6.573307509337931e-05,7.587976e-05
7.835077202950426e-05,7.237133e-05
8.009966804672885e-05,8.152157e-05
8.097786079082789e-05,8.143919e-05
7.012013242983192e-05,8.489876e-05
7.895137419007348e-05,7.873451e-05
8.48063957119681e-05,8.588839e-05
8.66141041302931e-05,8.625898e-05
9.21328510426102e-05,8.389445e-05
9.20075688109207e-05,8.8182926e-05
9.830978848977279e-05,8.547311e-05
9.636771162574669e-05,8.9792826e-05
9.641576903140222e-05,8.815671e-05
0.0001001325781076,8.647472e-05
0.0001036896628707,8.947739e-05
0.00010167062543909999,9.097377e-05
0.0001017112527513,9.243049e-05
9.590140522801137e-05,9.016306e-05
9.325272073591888e-05,8.9394605e-05
9.503744018648433e-05,8.703203e-05
9.254452457159932e-05,8.6982036e-05
9.003492823901247e-05,8.673044e-05
8.708429978682104e-05,8.298222e-05
7.608304481397559e-05,7.935352e-05
7.056004334718594e-05,7.6219294e-05
6.0885587602594e-05,7.131283e-05
6.137808261304922e-05,6.543762e-05
5.209193027161504e-05,6.160043e-05
4.5487952605402465e-05,5.7189605e-05
4.426856261817051e-05,5.3220938e-05
3.5941418920602994e-05,5.0377923e-05
3.6305335004405576e-05,4.734845e-05
2.944321163578996e-05,4.532079e-05
2.9989172706273392e-05,4.3276563e-05
2.9730851940366477e-05,4.207306e-05
2.597293847557011e-05,4.0993156e-05
2.5714540998682516e-05,3.992392e-05
2.322579613665924e-05,3.971255e-05
2.3212961011381527e-05,3.8908656e-05
2.4433612551109802e-05,3.8222464e-05
2.2506955203069885e-05,3.9313014e-05
2.0700406636493315e-05,3.825048e-05
1.834086700116318e-05,3.7876176e-05
2.522172606539885e-05,3.766804e-05
2.7578582692093645e-05,4.134132e-05
2.6789827826021966e-05,4.1640218e-05
2.6479247030479526e-05,4.0134037e-05
3.037102469621842e-05,3.8980124e-05
3.0643349752405644e-05,4.0427258e-05
3.076270423319142e-05,4.030249e-05
3.182114800308272e-05,3.968766e-05
3.274129220379834e-05,3.9627863e-05
3.280754608627759e-05,3.9988176e-05
3.535713635737922e-05,3.9740306e-05
3.52280109562539e-05,4.073752e-05
3.4236416436322995e-05,4.048814e-05
3.553060890017051e-05,4.0334224e-05
3.5720247201583426e-05,4.0613766e-05
3.2406094312997016e-05,4.063694e-05
3.1696709021147325e-05,4.0295945e-05
3.342471266418739e-05,4.002022e-05
2.950242131550016e-05,4.0360832e-05
3.296246197742202e-05,3.9869377e-05
3.18067566507414e-05,4.055125e-05
3.777275646820142e-05,4.009648e-05
3.656069848914059e-05,4.477386e-05
