RTY_SET_True_test,RTY_SET_11_pred
0.0002075278673792,0.00019749024
0.00020279156981229998,0.0001986758
0.0001955717855649,0.00019302315
0.0001646609240766,0.00018690655
0.0001671579957486,0.0001749822
0.0001456734652034,0.00016745753
0.0001412501492386,0.0001575035
0.0001401516282169,0.00014847753
0.0001368024730666,0.00014048215
0.0001495427679416,0.0001336066
0.00011766550939139998,0.00013839865
0.00011664048179339998,0.00012942361
0.0001170569261577,0.00012547532
0.0001078121651296,0.00012192486
0.00010949101100449999,0.00011401662
0.0001129714272313,0.000117973635
0.00010623634618599998,0.00011712074
0.0001055575926195,0.00011126871
9.30757546416048e-05,0.0001070399
0.000104009439127,0.00010077627
9.923548215595056e-05,0.00010528197
9.427043847915232e-05,0.00010068542
9.50543667169964e-05,9.608838e-05
9.492392194329864e-05,9.528843e-05
0.0001030977967852,9.343052e-05
0.0001034619110892,9.347141e-05
0.00010747562588580001,9.2462345e-05
0.00010461790799829998,9.351682e-05
0.00010740310719399999,9.3639224e-05
0.0001070366505316,9.403829e-05
0.00010686727469109999,9.350636e-05
9.429488627812886e-05,9.2703274e-05
9.240632706974836e-05,8.947923e-05
8.719511563637002e-05,8.659596e-05
8.241057934080621e-05,8.3599756e-05
8.318204763787686e-05,8.000786e-05
6.887991506707779e-05,7.7745266e-05
7.400687824323945e-05,7.488711e-05
7.33889894879345e-05,7.441944e-05
6.970771895758067e-05,7.2069946e-05
7.329399051732354e-05,6.9442765e-05
6.173639761593881e-05,6.9249836e-05
6.010769712238173e-05,6.649664e-05
6.015068466721321e-05,6.440152e-05
4.293673101864588e-05,6.315737e-05
4.4451810826700085e-05,6.053814e-05
3.648909046408679e-05,5.9330687e-05
3.644761896418301e-05,5.733234e-05
3.06355917316727e-05,5.6007088e-05
3.034365366191889e-05,5.4850265e-05
2.727077176933211e-05,5.374606e-05
2.8763060274976937e-05,5.3307023e-05
2.8868490511548404e-05,5.3325453e-05
4.416205929736389e-05,5.2546795e-05
4.291758350820337e-05,5.4881355e-05
4.132232828629465e-05,5.4536682e-05
4.35878387524226e-05,5.445954e-05
4.878553975035932e-05,5.514114e-05
4.617341325982632e-05,5.7518817e-05
3.931910106838851e-05,5.7636094e-05
3.917427410635524e-05,5.6728495e-05
4.431038417499303e-05,5.5706725e-05
4.124246366231133e-05,5.59497e-05
4.121515327099989e-05,5.5743956e-05
4.12340234313513e-05,5.5086555e-05
4.160563701277655e-05,5.4627006e-05
4.269308591557165e-05,5.4516626e-05
4.236217158477906e-05,5.4829656e-05
4.247855071967515e-05,5.464629e-05
4.216137407338265e-05,5.4357708e-05
4.147658239554236e-05,5.409871e-05
4.134267182567228e-05,5.3868735e-05
4.00639115086102e-05,5.368169e-05
3.855193441266168e-05,5.344203e-05
3.867699650254179e-05,5.3195185e-05
2.505970002343577e-05,5.307388e-05
2.5790512016694758e-05,5.269389e-05
2.507435509439469e-05,5.226861e-05
2.2909052586062028e-05,5.15366e-05
1.8083661419051496e-05,5.1043255e-05
1.7270391128636453e-05,5.0719816e-05
1.6269558225548986e-05,5.010483e-05
