window,RMSE,MAE,MAPE
5,0.000143711884491972,4.131986663417842e-05,0.1545580169232058
11,0.00015800673532999303,4.6757084767313035e-05,0.17928443022266094
22,0.00012888716852107681,3.994980249075606e-05,0.17470542631738428
