mode,window,RMSE,MAE,MAPE
dual,5,7.904646252781218e-05,2.3317140240949032e-05,0.16094913793378818
dual,11,9.178548927526706e-05,2.568510976158404e-05,0.17163507058614455
dual,22,8.585842991702867e-05,2.443345069715229e-05,0.16437674357930543
