mode,window,RMSE,MAE,MAPE
triple,5,8.281281083558585e-05,2.4296373677565124e-05,0.1630952329592519
triple,11,9.129322757992384e-05,2.594153664502366e-05,0.17016913253653274
triple,22,8.837162040919533e-05,2.4867580642642604e-05,0.17253076847339807
