mode,window,RMSE,MAE,MAPE
dual,5,7.221242762682644e-05,2.829948070861247e-05,0.13558999087396184
dual,11,8.239042216971123e-05,3.073947461294658e-05,0.13246786204983999
dual,22,7.847745949632483e-05,2.902660888719697e-05,0.12563124400538675
