NDX_ST_True_test,NDX_ST_11_pred
0.0001861026903111,0.00018289454
0.000162750263751,0.00017308712
0.0001283070130483,0.0001619554
0.000128368050803,0.00014733725
0.0001146216012343,0.0001340883
0.00010283770633970002,0.00012087925
0.00010651425292829998,0.00010841731
0.0001020909627831,0.00010702948
0.00011083340815989999,9.9137564e-05
7.783486575920829e-05,0.00010663583
6.63782275221422e-05,9.5948904e-05
7.326121700163391e-05,8.567838e-05
7.481194055834604e-05,8.621787e-05
6.573307509337931e-05,7.967196e-05
7.835077202950426e-05,7.773987e-05
8.009966804672885e-05,9.003006e-05
8.097786079082789e-05,8.5705135e-05
7.012013242983192e-05,8.456708e-05
7.895137419007348e-05,7.95571e-05
8.48063957119681e-05,8.969564e-05
8.66141041302931e-05,8.67584e-05
9.21328510426102e-05,8.313512e-05
9.20075688109207e-05,8.472168e-05
9.830978848977279e-05,8.2189705e-05
9.636771162574669e-05,8.423821e-05
9.641576903140222e-05,8.39054e-05
0.0001001325781076,8.209864e-05
0.0001036896628707,8.6963555e-05
0.00010167062543909999,8.7392604e-05
0.0001017112527513,9.0732516e-05
9.590140522801137e-05,8.809757e-05
9.325272073591888e-05,8.606075e-05
9.503744018648433e-05,8.332848e-05
9.254452457159932e-05,8.234085e-05
9.003492823901247e-05,8.384426e-05
8.708429978682104e-05,8.0195765e-05
7.608304481397559e-05,7.6630466e-05
7.056004334718594e-05,7.279725e-05
6.0885587602594e-05,6.795495e-05
6.137808261304922e-05,6.24429e-05
5.209193027161504e-05,5.9002814e-05
4.5487952605402465e-05,5.461264e-05
4.426856261817051e-05,5.07191e-05
3.5941418920602994e-05,4.810942e-05
3.6305335004405576e-05,4.4952125e-05
2.944321163578996e-05,4.2754913e-05
2.9989172706273392e-05,4.062758e-05
2.9730851940366477e-05,3.941014e-05
2.597293847557011e-05,3.831092e-05
2.5714540998682516e-05,3.7202826e-05
2.322579613665924e-05,3.781469e-05
2.3212961011381527e-05,3.7155653e-05
2.4433612551109802e-05,3.6204896e-05
2.2506955203069885e-05,3.740162e-05
2.0700406636493315e-05,3.6300862e-05
1.834086700116318e-05,3.5929028e-05
2.522172606539885e-05,3.640887e-05
2.7578582692093645e-05,4.16366e-05
2.6789827826021966e-05,4.337158e-05
2.6479247030479526e-05,4.1111376e-05
3.037102469621842e-05,3.9253886e-05
3.0643349752405644e-05,3.9674775e-05
3.076270423319142e-05,4.035123e-05
3.182114800308272e-05,3.9514933e-05
3.274129220379834e-05,3.8835136e-05
3.280754608627759e-05,3.871916e-05
3.535713635737922e-05,3.8165304e-05
3.52280109562539e-05,3.8831076e-05
3.4236416436322995e-05,3.843032e-05
3.553060890017051e-05,3.814971e-05
3.5720247201583426e-05,3.8298665e-05
3.2406094312997016e-05,3.8220267e-05
3.1696709021147325e-05,3.7772777e-05
3.342471266418739e-05,3.747493e-05
2.950242131550016e-05,3.80467e-05
3.296246197742202e-05,3.7594415e-05
3.18067566507414e-05,3.930328e-05
3.777275646820142e-05,3.847748e-05
3.656069848914059e-05,4.182638e-05
3.439922921978188e-05,4.550452e-05
3.400933375278173e-05,4.3328342e-05
3.478813700233215e-05,4.1489493e-05
3.1967490105592795e-05,4.0713552e-05
3.2301726249074965e-05,4.0184303e-05
3.4923392368252354e-05,3.9905237e-05
3.6293512700165146e-05,4.0752686e-05
3.4765820648816714e-05,4.1498493e-05
3.66442956590386e-05,4.02465e-05
3.395501668376556e-05,4.0527306e-05
3.455843776005619e-05,3.9527367e-05
3.454892782894146e-05,3.912535e-05
3.323936310693103e-05,3.863626e-05
3.805606371278724e-05,3.8145947e-05
6.0544704196989805e-05,4.1159947e-05
6.851364781581735e-05,6.5737004e-05
6.670976574372005e-05,6.619674e-05
6.64825366859823e-05,6.0547216e-05
7.677788377242308e-05,5.760546e-05
8.424703152783466e-05,7.321012e-05
9.472284714449059e-05,7.469271e-05
8.879284242511303e-05,8.6335895e-05
8.968461994155991e-05,8.046706e-05
9.180394192243698e-05,7.803183e-05
9.48809760275484e-05,7.8922974e-05
9.377053058748345e-05,7.985127e-05
9.438137418957125e-05,7.7745484e-05
9.249254718197677e-05,7.792876e-05
9.000127226862649e-05,7.683031e-05
8.98981958460006e-05,7.454816e-05
8.97695714484953e-05,7.302606e-05
9.565200067010416e-05,7.281471e-05
0.0001138393526129,7.8401594e-05
0.0001832673265389,0.000103615435
0.0002125973745843,0.00025784838
0.00020900032504699996,0.00032121557
0.0002904317774949,0.0002522708
0.0002840631414234,0.0005386286
0.0003938112106941,0.00039980988
0.00043366981004520005,0.0004897989
0.0004950780065355,0.0005691395
0.0005262797948849,0.00058253075
0.0005146323432556,0.00064736244
0.000696373371989,0.0005996272
0.0008452708316071998,0.0011840765
0.0009063409379312001,0.0011156843
0.0012311893501505,0.0012393612
0.0017215057743164997,0.0023222738
0.0023283449207324,0.0024750452
0.0025761466223709,0.0030373917
0.0026103988581385,0.0030373917
0.0026466621183618,0.0030373917
0.0026761721399147,0.002577037
0.0026820624886535,0.0025775905
0.002994108514471,0.0022746
0.0029249055229181,0.0024527155
0.0030633581182656997,0.0023239371
0.0031106705605973,0.002390388
0.0030865668403888,0.002489802
0.0030864317045224,0.002431021
0.0030324497261187,0.0023644348
0.0030211342979927,0.0024734684
0.0029477843096284,0.0023609449
0.0031590138837205,0.0023033929
0.0031521798666505,0.0024706554
0.0029896337878913,0.0023947067
0.00283957717873,0.0023192053
0.0027800844343662,0.0022204882
0.0025041007237662,0.0021418303
0.002023548671001,0.0020951317
0.0014183454969135,0.0019119285
0.0011697077312917,0.0016584239
0.0011554237900737,0.0014190215
0.0012079109629793,0.001255956
0.0011964879956023,0.0012371405
0.0011912594938273,0.001145827
0.0008647164314837,0.0010576661
0.0008646234853218,0.00093881786
0.0007199761322969,0.0008483364
0.0007040421664604,0.0007858552
0.0006249577262851,0.00074007333
0.0006850502958455,0.000653964
0.0006307432255045,0.0006923742
0.0006026686044162,0.0006297432
0.0006010294130659,0.0005786699
0.0003536503823055,0.0005421084
0.0003556407236547,0.00046460732
0.0003368141768659,0.0004085067
0.0003647081770726,0.00036149158
0.0003720659730858,0.00036987072
0.0003224954220215,0.00036410472
0.0003130086154582,0.0003299991
0.0003216645339272,0.0003027018
0.0003232222659415,0.00029656955
0.0003149875040431,0.00028612596
0.0002381406079015,0.00028472708
0.0002182340359434,0.0002697535
0.0002132840405109,0.00023936568
0.00020916835783530002,0.0002195799
0.00021042402875359997,0.00020200825
0.00019206563717870002,0.00019250216
0.0001592919031249,0.00018381575
0.0001589317104068,0.00016518537
9.720587774869812e-05,0.00015265975
0.00010193867827980001,0.00012944671
0.0001124833889706,0.00011961093
0.0001128309927264,0.00011884928
0.0001105290631264,0.000108762746
0.0001117791613689,0.00010112055
0.0002381006371246,9.928274e-05
0.0002112616547567,0.0003394771
0.000202574350943,0.0002745806
0.0002075547048207,0.000242799
0.0002070133449023,0.00023524459
0.00019462083003290003,0.00021092911
0.00019364466082610004,0.00019192541
0.000185669690298,0.00017917577
0.0001742466843494,0.00017522175
0.0001988220511047,0.00016523723
0.00019894520639380001,0.00019835476
0.0002324159579593,0.00018972965
