RTY_ST_True_test,RTY_ST_11_pred
0.0002075278673792,0.00019449167
0.00020279156981229998,0.00019589883
0.0001955717855649,0.00019011795
0.0001646609240766,0.00018392898
0.0001671579957486,0.00017206947
0.0001456734652034,0.00016471886
0.0001412501492386,0.00015515677
0.0001401516282169,0.0001466051
0.0001368024730666,0.0001390479
0.0001495427679416,0.00013248988
0.00011766550939139998,0.00013749045
0.00011664048179339998,0.00012865866
0.0001170569261577,0.00012472409
0.0001078121651296,0.000121135905
0.00010949101100449999,0.00011324152
0.0001129714272313,0.000117124604
0.00010623634618599998,0.000116215284
0.0001055575926195,0.00011038258
9.30757546416048e-05,0.000106195184
0.000104009439127,0.00010001773
9.923548215595056e-05,0.00010443976
9.427043847915232e-05,9.986862e-05
9.50543667169964e-05,9.5314004e-05
9.492392194329864e-05,9.4478746e-05
0.0001030977967852,9.260627e-05
0.0001034619110892,9.261001e-05
0.00010747562588580001,9.1581176e-05
0.00010461790799829998,9.25731e-05
0.00010740310719399999,9.270196e-05
0.0001070366505316,9.308206e-05
0.00010686727469109999,9.258188e-05
9.429488627812886e-05,9.18104e-05
9.240632706974836e-05,8.872953e-05
8.719511563637002e-05,8.59248e-05
8.241057934080621e-05,8.2994375e-05
8.318204763787686e-05,7.953663e-05
6.887991506707779e-05,7.728516e-05
7.400687824323945e-05,7.4449665e-05
7.33889894879345e-05,7.387341e-05
6.970771895758067e-05,7.157258e-05
7.329399051732354e-05,6.907783e-05
6.173639761593881e-05,6.87919e-05
6.010769712238173e-05,6.6194596e-05
6.015068466721321e-05,6.420696e-05
4.293673101864588e-05,6.296259e-05
4.4451810826700085e-05,6.0388335e-05
3.648909046408679e-05,5.9164428e-05
3.644761896418301e-05,5.7316563e-05
3.06355917316727e-05,5.608913e-05
3.034365366191889e-05,5.497534e-05
2.727077176933211e-05,5.392117e-05
2.8763060274976937e-05,5.345398e-05
2.8868490511548404e-05,5.341223e-05
4.416205929736389e-05,5.2713593e-05
4.291758350820337e-05,5.499249e-05
4.132232828629465e-05,5.4724926e-05
4.35878387524226e-05,5.466356e-05
4.878553975035932e-05,5.526195e-05
4.617341325982632e-05,5.736646e-05
3.931910106838851e-05,5.7459998e-05
3.917427410635524e-05,5.666927e-05
4.431038417499303e-05,5.575377e-05
4.124246366231133e-05,5.603351e-05
4.121515327099989e-05,5.5821558e-05
4.12340234313513e-05,5.5228258e-05
4.160563701277655e-05,5.4811182e-05
4.269308591557165e-05,5.4721586e-05
4.236217158477906e-05,5.498239e-05
4.247855071967515e-05,5.4824628e-05
4.216137407338265e-05,5.457599e-05
4.147658239554236e-05,5.434747e-05
4.134267182567228e-05,5.4136e-05
4.00639115086102e-05,5.3957217e-05
3.855193441266168e-05,5.3734177e-05
3.867699650254179e-05,5.3503438e-05
2.505970002343577e-05,5.3371707e-05
2.5790512016694758e-05,5.294674e-05
2.507435509439469e-05,5.2514206e-05
2.2909052586062028e-05,5.1853072e-05
1.8083661419051496e-05,5.1377694e-05
1.7270391128636453e-05,5.1033796e-05
1.6269558225548986e-05,5.04485e-05
1.6421692964656578e-05,5.024048e-05
1.1181193626615518e-05,4.9803297e-05
1.178055546834404e-05,4.9252874e-05
1.3495796219099644e-05,4.918018e-05
1.3742661700411268e-05,4.897014e-05
1.2236946151235492e-05,4.879695e-05
1.7088337461957107e-05,4.8589278e-05
1.665031250935765e-05,4.911561e-05
1.991150615650777e-05,4.9218284e-05
1.9988022781210243e-05,5.0085924e-05
1.993044852787156e-05,5.008834e-05
2.7996452525491147e-05,4.986519e-05
3.2612593912938725e-05,5.2832e-05
3.639034005259304e-05,5.5636974e-05
3.707876050569835e-05,5.5008757e-05
3.517988089152417e-05,5.573347e-05
5.181817721855432e-05,5.4846572e-05
5.843538013015352e-05,6.469693e-05
6.873465656897858e-05,6.3666914e-05
7.713550460084994e-05,6.496472e-05
7.755382071424176e-05,6.719045e-05
8.369272912777797e-05,6.776434e-05
8.542591679246612e-05,7.407715e-05
8.682398362671124e-05,7.36319e-05
8.733512939254232e-05,7.335943e-05
8.578603584634835e-05,7.335457e-05
8.622246389965047e-05,7.274871e-05
8.610116932033825e-05,7.334549e-05
8.141559200621025e-05,7.332778e-05
8.065448118727287e-05,7.206271e-05
8.174925607143338e-05,7.088501e-05
0.00011988495525469999,7.283512e-05
0.0001663547648834,0.000102896054
0.000162064323216,0.0001799148
0.0002032430494893,0.00018825606
0.0002032545920279,0.00028376305
0.0002483322326036,0.0002824846
0.0002612628596996,0.00028198984
0.0002913120039819,0.0003139576
0.0003263496877149,0.00031936262
0.00032491799535,0.0004106239
0.000660490832708,0.00042017607
0.0007255721832261,0.0012714271
0.0008509994383177,0.0010857013
0.0013091071905261,0.001426801
0.001668585310239,0.0027093717
0.002450184089477,0.002428957
0.0027694391482679,0.0030329272
0.0031041299105615,0.0030329272
0.0034482934853183006,0.0030329272
0.0034650004789093,0.0030329272
0.0034719195258052,0.0030329272
0.0040084071328134,0.0030329272
0.0040108428812329,0.0030329272
0.0042140795286127,0.0030329272
0.0042445051339094,0.0030329272
0.0042533303404198,0.0030329272
0.0042515913989131,0.0030329272
0.0043537477885861,0.0030329272
0.0043741217188291,0.0030329272
0.0043362799798474,0.0030329272
0.0046716488892703,0.0030329272
0.004668354250889,0.0030329272
0.004434486043794,0.0030329272
0.0044773103347283,0.0030329272
0.0043763667747803,0.0030329272
0.003928364170499,0.0030329272
0.0036519686637356,0.0030329272
0.0028738994368068,0.0030329272
0.0026187755594861,0.002834072
0.0023055544552748,0.0025485072
0.0019985232457866,0.0022565296
0.0019820030369633,0.002015173
0.0019749999850115,0.001800032
0.0014385451588695,0.001652967
0.0014453096516559,0.0014497325
0.0011986878789949,0.0013513828
0.0012328496234687,0.0011959083
0.0012627355053398,0.0011587865
0.0013450719512777,0.0011552555
0.0011978391571761,0.0011948207
0.0011645379058029,0.0011061475
0.0011674594673704,0.0010376056
0.0007950698037627,0.0010013644
0.0008268115231432,0.0008830975
0.0007210840613011,0.0008334278
0.0006724630937247,0.00074604154
0.000695138810776,0.0007436262
0.0006836968766998,0.00075762306
0.0006067388147812,0.0006856562
0.0007320031453751,0.00062671775
0.0006906796680538,0.0007318438
0.0006964402739237,0.00071064744
0.0006603482657199,0.0006936903
0.0006586925099802,0.0006417582
0.000678739776906,0.0006039667
0.0006994703226619,0.0006041278
0.0006907565236753,0.00061568286
0.0006905739091642,0.00063245895
0.0006241795362011,0.00060904573
0.0005410104781344,0.0005749674
0.000470031276895,0.00052889093
0.000470835085529,0.00049571577
0.0005106047687283,0.00045486804
0.0005032249578026,0.0004785956
0.0005314276708622,0.0004634862
0.000538002354473,0.00047151698
0.0008231569761231,0.00050072896
0.0007800369409490002,0.0009292369
0.0007380767068139,0.0008574529
0.000748404482996,0.00080139353
0.0007662549554483999,0.00076137146
0.0006360527592978,0.00074773334
0.0006172945425622,0.00067161414
0.0005919849470107,0.0006201547
0.0005907240668821,0.00057494896
0.0006502776953626,0.0005379506
0.0006419800726245,0.0006010754
0.0006403269890419,0.0005811898
0.0006415558840258,0.00060235406
0.0006458305997296,0.0006079594
0.000648842266448,0.0005861684
0.0006478058795389,0.0005740183
0.0006372719841372,0.00055284606
0.0006496397540113,0.0005366058
0.0006148723774231,0.00055068656
0.0006212076908678,0.0005305294
0.0006054609160763,0.0005432219
0.0005673703210501,0.00053075445
0.0002870359692241,0.0005194692
0.0003156705245792,0.00044577202
0.0003070276970418,0.00042640563
0.0002966339358847,0.00037876127
0.000272374205155,0.0003352741
0.000277899599419,0.0003014431
0.000273691752047,0.00028094702
0.0002711932772825,0.00026031316
0.0002830679014863,0.00024557885
0.0002268519208996,0.00025441954
0.0002213722658482,0.00023803154
0.0002106221501943,0.00022939923
0.0001723067661056,0.00022536097
0.0001707077457953,0.00020281831
0.0001761925220309,0.00019232735
0.0001766723551852,0.000186631
0.0001851479507673,0.00017473263
0.0001720965564544,0.0001774321
0.0001730722761245,0.00016645112
0.0001623938505367,0.00016551671
0.0001503694226142,0.00015785711
0.0001443581703004,0.00015110569
0.0001360936100256,0.00014102958
9.166435822322022e-05,0.0001330756
8.823678710512423e-05,0.000116218725
9.524173575789696e-05,0.00010312014
9.425284952908136e-05,9.985021e-05
9.077961539605082e-05,9.16507e-05
9.482944216083001e-05,8.7392225e-05
9.754805419509646e-05,8.6871514e-05
8.570701895066805e-05,8.527367e-05
8.628588286748751e-05,7.988345e-05
7.988814479882413e-05,7.9648686e-05
6.874955461007805e-05,7.515148e-05
7.41885378207462e-05,7.147623e-05
7.131910155931791e-05,7.3935844e-05
6.253437570523992e-05,7.208508e-05
0.00010587470268340002,6.8623325e-05
9.603206980556494e-05,0.000120256875
0.0001113303383025,0.00011147079
0.00011654948012370002,0.00013660551
0.00012038739041719999,0.00013103316
0.0001161906182269,0.00013673365
0.0001506102989772,0.00013113067
0.0001487051517789,0.00015633205
0.0001523829482168,0.00014565639
0.0001534631148471,0.0001428709
0.0001463351510468,0.00014341409
0.0001913762739271,0.00013928817
0.0001934064978727,0.0002159959
0.00022450149832119998,0.00020300376
0.0002222914304088,0.0002714815
0.0002380234754105,0.00024654053
0.0002630024943352,0.0002442649
0.0002631756227785,0.00025978882
0.0002620161270381,0.0002519013
0.000267131024347,0.00024326492
0.0002662939734195,0.00024479628
0.000299301879192,0.0002379512
0.0002558337517672,0.0002647714
0.000270702370483,0.000251268
0.0002566319678289,0.00025725993
0.000245675562231,0.00024649262
0.00024144429690910004,0.00023318439
0.0002464427845561,0.00022332287
0.00021831054530150002,0.00022120398
0.00022081791442360002,0.00021561225
0.0002176875995635,0.00020726552
0.0002260554030873,0.00019991779
0.0002256971867542,0.00020614541
0.0001872285296728,0.00019938679
0.0001899157397811,0.00019249934
0.0001547832495046,0.00018855768
0.0001856131510392,0.00017106095
0.0001770665169854,0.00019269335
0.00019215778363760002,0.0001882089
0.0001966248342584,0.00023990254
0.0002072563451864,0.0002237591
0.0002102702377484,0.00023231511
0.00024045701168590001,0.00022996966
0.000205746647723,0.00025464137
0.00023376801762490002,0.0002317047
0.0002224390766167,0.00024991168
0.0002734647206537,0.00024262843
0.0002847084284103,0.00029223197
0.0002845803068542,0.00029094532
0.0002940969789737,0.00027506094
0.0003014088761034,0.00028831037
0.0003160261048395,0.000293628
0.000314699824152,0.00030567645
