mode,window,RMSE,MAE,MAPE
triple,5,8.315871309679825e-05,3.0303802437971143e-05,0.14162597516834882
triple,11,8.977087915345227e-05,3.176273736887016e-05,0.1478217515711752
triple,22,8.776126400451102e-05,3.137276876560269e-05,0.14184939274727615
