mode,window,RMSE,MAE,MAPE
single,5,6.99474735256898e-05,2.1422272495485367e-05,0.15148807227574815
single,11,7.859908523990305e-05,2.3905119061022823e-05,0.17503778339902007
single,22,7.960702566278879e-05,2.3455947143859532e-05,0.15793730593411784
