RTY_SET_True_test,RTY_SET_22_pred
0.00011664048179339998,0.0001234846
0.0001170569261577,0.0001197478
0.0001078121651296,0.00011644647
0.00010949101100449999,0.00010875344
0.0001129714272313,0.00011326873
0.00010623634618599998,0.00011283867
0.0001055575926195,0.00010734212
9.30757546416048e-05,0.00010358653
0.000104009439127,9.7650576e-05
9.923548215595056e-05,0.00010278999
9.427043847915232e-05,9.862941e-05
9.50543667169964e-05,9.422275e-05
9.492392194329864e-05,9.389522e-05
0.0001030977967852,9.2290786e-05
0.0001034619110892,9.272602e-05
0.00010747562588580001,9.197128e-05
0.00010461790799829998,9.340262e-05
0.00010740310719399999,9.3681156e-05
0.0001070366505316,9.427591e-05
0.00010686727469109999,9.378665e-05
9.429488627812886e-05,9.3065064e-05
9.240632706974836e-05,8.9712725e-05
8.719511563637002e-05,8.661894e-05
8.241057934080621e-05,8.3373714e-05
8.318204763787686e-05,7.9447054e-05
6.887991506707779e-05,7.700308e-05
7.400687824323945e-05,7.3553514e-05
7.33889894879345e-05,7.308543e-05
6.970771895758067e-05,7.067762e-05
7.329399051732354e-05,6.8018504e-05
6.173639761593881e-05,6.781278e-05
6.010769712238173e-05,6.494119e-05
6.015068466721321e-05,6.270599e-05
4.293673101864588e-05,6.1363324e-05
4.4451810826700085e-05,5.857571e-05
3.648909046408679e-05,5.7146444e-05
3.644761896418301e-05,5.5136952e-05
3.06355917316727e-05,5.3760443e-05
3.034365366191889e-05,5.2610856e-05
2.727077176933211e-05,5.1579453e-05
2.8763060274976937e-05,5.115862e-05
2.8868490511548404e-05,5.1165047e-05
4.416205929736389e-05,5.0467297e-05
4.291758350820337e-05,5.2606785e-05
4.132232828629465e-05,5.2274096e-05
4.35878387524226e-05,5.2129002e-05
4.878553975035932e-05,5.2696105e-05
4.617341325982632e-05,5.4828677e-05
3.931910106838851e-05,5.489851e-05
3.917427410635524e-05,5.4008895e-05
4.431038417499303e-05,5.305928e-05
4.124246366231133e-05,5.3286873e-05
4.121515327099989e-05,5.304771e-05
4.12340234313513e-05,5.2440395e-05
4.160563701277655e-05,5.2064872e-05
4.269308591557165e-05,5.1977593e-05
4.236217158477906e-05,5.2254367e-05
4.247855071967515e-05,5.2107633e-05
4.216137407338265e-05,5.189009e-05
4.147658239554236e-05,5.1687086e-05
4.134267182567228e-05,5.148146e-05
4.00639115086102e-05,5.1323284e-05
3.855193441266168e-05,5.1130664e-05
3.867699650254179e-05,5.090733e-05
2.505970002343577e-05,5.076853e-05
2.5790512016694758e-05,5.038656e-05
2.507435509439469e-05,5.0014405e-05
2.2909052586062028e-05,4.9393744e-05
1.8083661419051496e-05,4.897659e-05
1.7270391128636453e-05,4.868716e-05
1.6269558225548986e-05,4.820217e-05
1.6421692964656578e-05,4.8058882e-05
1.1181193626615518e-05,4.767974e-05
1.178055546834404e-05,4.7230667e-05
1.3495796219099644e-05,4.719891e-05
1.3742661700411268e-05,4.700204e-05
1.2236946151235492e-05,4.6854155e-05
1.7088337461957107e-05,4.669923e-05
1.665031250935765e-05,4.7040256e-05
1.991150615650777e-05,4.711683e-05
1.9988022781210243e-05,4.7914204e-05
1.993044852787156e-05,4.790849e-05
2.7996452525491147e-05,4.7683185e-05
3.2612593912938725e-05,5.0571147e-05
3.639034005259304e-05,5.3418444e-05
3.707876050569835e-05,5.257824e-05
3.517988089152417e-05,5.3249794e-05
5.181817721855432e-05,5.226037e-05
5.843538013015352e-05,6.2763276e-05
6.873465656897858e-05,6.168301e-05
7.713550460084994e-05,6.327324e-05
7.755382071424176e-05,6.607501e-05
8.369272912777797e-05,6.686794e-05
8.542591679246612e-05,7.403921e-05
8.682398362671124e-05,7.386821e-05
8.733512939254232e-05,7.382352e-05
8.578603584634835e-05,7.400289e-05
8.622246389965047e-05,7.3483614e-05
8.610116932033825e-05,7.412585e-05
8.141559200621025e-05,7.422188e-05
8.065448118727287e-05,7.2844145e-05
8.174925607143338e-05,7.156485e-05
0.00011988495525469999,7.3464e-05
0.0001663547648834,0.00010604746
0.000162064323216,0.00018842492
0.0002032430494893,0.00019692618
0.0002032545920279,0.00030015572
0.0002483322326036,0.00029800378
0.0002612628596996,0.0002978932
0.0002913120039819,0.0003299441
0.0003263496877149,0.0003354098
