window,RMSE,MAE,MAPE
5,9.736507093839722e-05,3.378121990757686e-05,0.15620307582445297
11,7.828990735268491e-05,2.8674947532211893e-05,0.1536862725962288
22,7.747199489066897e-05,3.0249244748773817e-05,0.17343802158625438
