Date,Regime,Asset,Window,VaR_1pct,VaR_5pct,Actual_Return,Volatility_Forecast_Raw,Volatility_Forecast_Calibrated,RV22_Forecast,RV22_Actual,Calibration_Factor,Historical_Returns_Count,Violation_1pct,Violation_5pct
2022-02-24,4,SPX Index,5,-0.024622752961898812,-0.019193437039226435,0.0221261483647568,0.20061931385315096,0.009986028564119013,0.8854584,1.0425662183931157,0.049776007964161276,252,False,False
2022-02-25,4,SPX Index,5,-0.0245614317720359,-0.01914563716897531,-0.0024456003393256,0.20174843696589528,0.010042231805171492,0.8954535,1.082829589187495,0.049776007964161276,252,False,False
2022-02-28,4,SPX Index,5,-0.02498091888205704,-0.01947262739006945,-0.0155944267561353,0.20444851541291625,0.010176630931454269,0.9195823,1.083264427197576,0.049776007964161276,252,False,False
2022-03-01,4,SPX Index,5,-0.02496581849832279,-0.019460856640270682,0.0184709834489893,0.20480521455541825,0.010194385990812257,0.92279387,1.1078810312050025,0.049776007964161276,252,False,False
2022-03-02,4,SPX Index,5,-0.025003827488032242,-0.019490484649455596,-0.005268565551901,0.20647944427736845,0.010277722462785886,0.93794274,1.0805314376917323,0.049776007964161276,252,False,False
2022-03-03,4,SPX Index,5,-0.025056764111008222,-0.019531748749441934,-0.0079656579014163,0.20644885675281774,0.010276199937920246,0.93766487,1.04227060736499,0.049776007964161276,252,False,False
2022-03-04,4,SPX Index,5,-0.024759666258337025,-0.019300160959946674,-0.029962522550535,0.20421312396611535,0.010164914084923612,0.917466,1.0442842390577205,0.049776007964161276,252,True,True
2022-03-07,4,SPX Index,5,-0.02519229279733188,-0.019160127856494638,-0.0072601279980952,0.20361982735212475,0.010135382147940505,0.91214275,1.1378042881005983,0.049776007964161276,252,False,False
2022-03-08,4,SPX Index,5,-0.02578169153308924,-0.019608398096381787,0.0253736723456352,0.20846569371132856,0.010376590030429496,0.9560748,1.074346222203379,0.049776007964161276,252,False,False
2022-03-09,4,SPX Index,5,-0.0253523982859636,-0.019281896909331117,-0.0043010818993905,0.2065868516453244,0.010283068772788671,0.9389188,1.144463150160898,0.049776007964161276,252,False,False
2022-03-10,4,SPX Index,5,-0.02578837371665807,-0.019613480265462998,-0.0130462882845121,0.21020467298672155,0.010463149476690968,0.9720921,1.144985453495,0.049776007964161276,252,False,False
2022-03-11,4,SPX Index,5,-0.025776817305509805,-0.01960469097752703,-0.0074486283971046,0.21078116614156966,0.010491845004557973,0.9774314,1.1559608507106292,0.049776007964161276,252,False,False
2022-03-14,4,SPX Index,5,-0.025889718638393445,-0.019690558666927985,0.0211825511406567,0.2118438747585761,0.010544742397141668,0.9873122,1.139245021988318,0.049776007964161276,252,False,False
2022-03-15,4,SPX Index,5,-0.02563901158186025,-0.019499882125640317,0.0221369988429547,0.21112748195430087,0.010509083223210596,0.9806459,1.1518364491978426,0.049776007964161276,252,False,False
