Date,Regime,Asset,Window,VaR_1pct,VaR_5pct,Actual_Return,Volatility_Forecast_Raw,Volatility_Forecast_Calibrated,RV22_Forecast,RV22_Actual,Calibration_Factor,Historical_Returns_Count,Violation_1pct,Violation_5pct
2018-08-21,0,NDX Index,5,-0.02599738748708914,-0.015525338083384023,0.0036932053747784,0.1625997316334585,0.009818824374001119,0.5816508,0.5962951078156636,0.060386473429951695,252,False,False
2018-08-22,0,NDX Index,5,-0.025961758021915766,-0.015504060580295624,-0.0014502874811623,0.16227175018804385,0.00979901873116207,0.57930666,0.5973652459725305,0.060386473429951695,252,False,False
2018-08-23,0,NDX Index,5,-0.025894746663743456,-0.015464042174924373,0.0096059329548974,0.1617851970978804,0.009769637505910653,0.5758379,0.5932040952740042,0.060386473429951695,252,False,False
2018-08-24,0,NDX Index,5,-0.0257749162002447,-0.015392480812867102,0.009801647546749,0.16131954455225025,0.00974151839083637,0.5725279,0.572437007202802,0.060386473429951695,252,False,False
2018-08-27,0,NDX Index,5,-0.025669160857752907,-0.015329324949720292,0.0014699877988919,0.16094442857989552,0.00971886646013862,0.5698684,0.5469524287602214,0.060386473429951695,252,False,False
2018-08-28,0,NDX Index,5,-0.02548934011450459,-0.015221938088839674,0.0118093901678107,0.1598001820456353,0.0096497694472002,0.56179416,0.4992577730514874,0.060386473429951695,252,False,False
2018-08-29,0,NDX Index,5,-0.024837574043901925,-0.014832710955828316,-0.0022884636053742,0.15610459780078695,0.009426606147390517,0.5361102,0.4824856951439104,0.060386473429951695,252,False,False
2018-08-30,0,NDX Index,5,-0.024505475078904132,-0.014634385308249566,0.0015532237084095,0.1540511721356369,0.009302607013021554,0.5220988,0.4762240659968021,0.060386473429951695,252,False,False
2018-08-31,0,NDX Index,5,-0.02404966533857104,-0.014362181021419392,-0.0042194569722819,0.15100142082414025,0.0091184432864819,0.50163144,0.4683788999687157,0.060386473429951695,252,False,False
2018-09-04,0,NDX Index,5,-0.02360181873173071,-0.014094732225491515,-0.0130812306402228,0.14827634673136508,0.008953885672183883,0.48368925,0.4213774213499029,0.060386473429951695,252,False,False
2018-09-05,0,NDX Index,5,-0.0229669806057966,-0.013715614264571645,-0.0093601094151661,0.1448941369037785,0.008749645948295803,0.46187484,0.4670791195476934,0.060386473429951695,252,False,False
2018-09-06,0,NDX Index,5,-0.023325921380580383,-0.013929969529430373,-0.0030785938583488,0.1475629865515062,0.008910808366636849,0.47904637,0.4812166922738083,0.060386473429951695,252,False,False
2018-09-07,0,NDX Index,5,-0.023540623395618944,-0.014058187080994463,0.0023417231095778,0.14897486517713468,0.00899606673774968,0.48825723,0.4810602264070505,0.060386473429951695,252,False,False
2018-09-10,0,NDX Index,5,-0.023499938224833684,-0.014033890369190824,0.008049229212693,0.14862546429318105,0.008974967650554411,0.48596963,0.4822712840256747,0.060386473429951695,252,False,False
2018-09-11,0,NDX Index,5,-0.023409713623527277,-0.013980009284431208,-0.0026420517465121,0.14822184540257705,0.008950594529141126,0.48333374,0.4988811341307854,0.060386473429951695,252,False,False
2018-09-12,0,NDX Index,5,-0.023636461331300904,-0.014115420383895187,0.0097849582188306,0.14963499226147242,0.009035929484388432,0.49259388,0.4847329224208704,0.060386473429951695,252,False,False
2018-09-13,0,NDX Index,5,-0.023530343564384257,-0.01405204808508813,-0.0021433511060638,0.14920162532626782,0.00900975998347028,0.48974475,0.5087830593730287,0.060386473429951695,252,False,False
2018-09-14,0,NDX Index,5,-0.023729889234927422,-0.014171214443623069,-0.014789094551385,0.15048786118367277,0.009087431230898115,0.49822512,0.5003433794346711,0.060386473429951695,252,False,True
2018-09-17,0,NDX Index,5,-0.023856203063570232,-0.014254915741186468,0.0079938104561233,0.15025118362867623,0.00907313910801185,0.4966592,0.5158347212925997,0.060386473429951695,252,False,False
2018-09-18,0,NDX Index,5,-0.02455176019538737,-0.014670535455724174,-0.0005445547331979,0.15465817587064826,0.009339261827937697,0.52622133,0.5295245583611737,0.060386473429951695,252,False,False
2018-09-19,0,NDX Index,5,-0.02470565793454357,-0.01476249473770148,0.0104547227790227,0.1551059901545333,0.009366303753293075,0.5292731,0.5295492055628872,0.060386473429951695,252,False,False
2018-09-20,0,NDX Index,5,-0.024629931365062516,-0.014717245463772805,-0.00502911303666,0.1549474353684911,0.009356729188918545,0.52819157,0.5547906941059998,0.060386473429951695,252,False,False
2018-09-21,0,NDX Index,5,-0.024882688308796606,-0.014868276578251845,0.0023448566496027,0.15669227224664967,0.009462093734701067,0.5401543,0.5577523415750547,0.060386473429951695,252,False,False
2018-09-24,0,NDX Index,5,-0.025339843413861883,-0.014522560871609573,0.0019110722243219,0.15764934622013616,0.009519888056771508,0.54677296,0.5559100992046411,0.060386473429951695,252,False,False
2018-09-25,0,NDX Index,5,-0.025338227166447607,-0.01452163458129775,-1.3222021541433029e-05,0.15761910359528702,0.009518061811309604,0.5465632,0.5562610465792034,0.060386473429951695,252,False,False
2018-09-26,0,NDX Index,5,-0.025293998628379312,-0.014496286688421357,0.0087516503779755,0.15733350507181176,0.009500815523660132,0.5445843,0.5349517371848916,0.060386473429951695,252,False,False
2018-09-27,0,NDX Index,5,-0.025193432673187438,-0.014438651162343615,-0.0002516841220268,0.1561967727521341,0.009432172267640948,0.5367435,0.5303434469506113,0.060386473429951695,252,False,False
2018-09-28,0,NDX Index,5,-0.02511570958265905,-0.014394107149387691,0.002330896551331,0.15562408086621604,0.00939758942428841,0.5328148,0.5298448800140377,0.060386473429951695,252,False,False
