actual_returns,VaR_1,VaR_5
-0.0029270375313741,-0.03601185591864557,-0.02084030473765947
0.0004501628954889,-0.03585802811860137,-0.020751283548713053
0.0104805390275233,-0.035702578540238165,-0.020661323825677713
-0.0087009586294604,-0.03458292545936275,-0.020013373010295783
0.0067117487167935,-0.033445064948537204,-0.01935488543197924
0.0113378494498315,-0.032503130230613235,-0.018809781435982376
0.0034451616401636,-0.03177096907293386,-0.01838607481898419
0.0050758763632972,-0.031109715729092515,-0.018003403033737073
-0.0089087978307889,-0.030555497064731173,-0.01768267294188394
-0.0126929198275789,-0.030028266327916543,-0.01737756094634836
-0.0059309581097073,-0.02969761130570106,-0.017186208647217333
-0.0021455775455647,-0.029200815168360796,-0.01689870936036989
0.0187811970468123,-0.028840572151651443,-0.01669023428858251
0.0128631489997843,-0.028601561769127183,-0.01655191736266448
0.0019711539478555,-0.028659739871029283,-0.016585585423967326
-0.0058303130364389,-0.028692810407931296,-0.01660472356748409
0.0073956655364435,-0.02870028222884161,-0.016609047560811947
0.0022257198218946,-0.02870889011017926,-0.01661402899999763
-0.0090774901520598,-0.028040733433258466,-0.016227362209177736
0.000769532198273,-0.027606272596021983,-0.015975936782367143
0.0015711555251378,-0.027274154244372066,-0.015783737644589027
-0.0045629764018118,-0.02693752361514257,-0.015588927221237857
0.0077221053444684,-0.02664675060869192,-0.015420654914539565
-0.0052225375726395,-0.026437709623047284,-0.015299681481419743
0.0001120424866281,-0.02630724433651169,-0.015224180337151307
-0.0072071099004951,-0.026127498347036412,-0.015120160116574521
0.0031200108235198,-0.02597518685137101,-0.01503201642323401
-0.0049801618629752,-0.025839461931020574,-0.014953471493281285
-0.0020131420372742,-0.025649405265352233,-0.014843484414611984
0.006567660622748,-0.025511632613979877,-0.014763754448858439
0.0162376282341165,-0.02539817528766815,-0.014698095926276373
-0.0120744999630435,-0.025328426357489255,-0.014657731748341814
0.0111565994471156,-0.025353354078791506,-0.014672157589362838
-0.0063164284120578,-0.025370292717691232,-0.014681960094329783
0.0105078465776049,-0.02546402079478906,-0.014736201166870069
-0.0069578067444862,-0.02547959404005743,-0.014745213509301972
-0.0152567344527465,-0.025381221937087847,-0.014688284907560314
-0.0110913291406218,-0.025421240331157665,-0.014711443823041116
-0.0306173419392088,-0.02546494331465266,-0.014736735035358474
0.0098157670532641,-0.02587389355419211,-0.015012991491928706
-0.0009324717970207,-0.02656540396969382,-0.015414231450760693
