model,confidence_level,violation_rate,expected_rate,violations_count,total_observations,uc_statistic,uc_pvalue,cc_statistic,cc_pvalue,violation_severity,var_mean,var_std
NDX_sGARCH-eGARCH-tGARCH_LSTM_win22,0.01,0.01812688821752266,0.01,24,1324,7.119512728333817,0.007624942745127483,0.5979740016453109,0.4393520819656809,-0.006967696810873408,-0.036477579332498816,0.022244684605145042
NDX_sGARCH-eGARCH-tGARCH_LSTM_win22,0.05,0.06268882175226587,0.05,83,1324,4.1679816080005025,0.04119484697305509,0.2613245719872443,0.6092116131185663,-0.008975464533417184,-0.02358039737351117,0.0123016794920608
