Date,x
2007-03-08,0.00017208196465568645
2007-03-09,0.00016117829200691194
2007-03-12,0.00014816027969152088
2007-03-13,0.0001375006038933814
2007-03-14,0.00018615621277753998
2007-03-15,0.0001705145004643079
2007-03-16,0.00015799545275122583
2007-03-19,0.00015978036733442386
2007-03-20,0.00014821401023647554
2007-03-21,0.000138030753441647
2007-03-22,0.00012985285277122353
2007-03-23,0.00012106786944033135
2007-03-26,0.00011357307735083072
2007-03-27,0.00010832870922501045
2007-03-28,0.00011704612162130679
2007-03-29,0.00012127039165771647
2007-03-30,0.0001135653049230001
2007-04-02,0.00010678123595997293
2007-04-03,0.00010042085553590829
2007-04-04,9.550866013983086e-05
2007-04-05,9.179102852445733e-05
2007-04-09,8.667839577423398e-05
2007-04-10,8.536852697316193e-05
2007-04-11,8.07928306224848e-05
2007-04-12,8.996222719245669e-05
2007-04-13,8.530278731339142e-05
2007-04-16,8.190979950449568e-05
2007-04-17,7.882637284990714e-05
2007-04-18,7.944875212864703e-05
2007-04-19,8.473408898181725e-05
2007-04-20,9.127072582674444e-05
2007-04-23,8.689759764870237e-05
2007-04-24,8.516985203210565e-05
2007-04-25,8.317629711661608e-05
2007-04-26,7.949377160109621e-05
2007-04-27,7.49734645718046e-05
2007-04-30,7.925900675220102e-05
2007-05-01,0.00011206599173615193
2007-05-02,0.00010158869659055204
2007-05-03,9.613331031126415e-05
2007-05-04,8.938439232596186e-05
2007-05-07,8.321962409989681e-05
2007-05-08,8.041979921232146e-05
2007-05-09,7.779580965472454e-05
2007-05-10,7.396335829271747e-05
2007-05-11,9.560305349132025e-05
2007-05-14,9.146803887450688e-05
2007-05-15,0.00010208879337495769
2007-05-16,0.00011898040499388792
2007-05-17,0.00010953514272396061
2007-05-18,0.00010702637703225603
2007-05-21,0.00010393221369770282
2007-05-22,9.904664098428992e-05
2007-05-23,9.240180440716456e-05
2007-05-24,9.277996923078791e-05
2007-05-25,0.00010591284672460062
2007-05-29,9.822088839428463e-05
2007-05-30,9.593880496275727e-05
2007-05-31,9.088638101268888e-05
2007-06-01,8.818304181900383e-05
2007-06-04,8.495084095747395e-05
2007-06-05,8.151793482888613e-05
2007-06-06,8.634020197558302e-05
2007-06-07,9.940064657241982e-05
2007-06-08,0.00012736990779434022
2007-06-11,0.0001138275129834573
2007-06-12,0.00010424148234523329
2007-06-13,0.00011405815622662823
2007-06-14,0.00011044273704746842
2007-06-15,9.996744083308168e-05
2007-06-18,9.778235458949589e-05
2007-06-19,0.00010307093180065885
2007-06-20,9.640686983305583e-05
2007-06-21,0.00011862194423049319
2007-06-22,0.00010698219400431892
2007-06-25,0.00011132452280808427
2007-06-26,0.00011748415985733889
2007-06-27,0.00010839789177731624
2007-06-28,0.00010297776296939227
2007-06-29,9.647428138661748e-05
2007-07-02,9.919368678897122e-05
2007-07-03,9.18360352020475e-05
2007-07-05,8.522974362910226e-05
2007-07-06,7.995207776768412e-05
2007-07-09,7.46467023816589e-05
2007-07-10,7.13192158614263e-05
2007-07-11,0.00010312390262373537
2007-07-12,9.312872108071123e-05
2007-07-13,8.8205920110793e-05
2007-07-16,8.39196870679587e-05
2007-07-17,9.239885573153746e-05
2007-07-18,8.71123926810476e-05
2007-07-19,8.794517865298117e-05
2007-07-20,8.395246401661105e-05
2007-07-23,0.00011602713325923426
2007-07-24,0.00010345665452730939
2007-07-25,0.00016009694816959216
2007-07-26,0.00012360630926753835
2007-07-27,0.00018972293109504958
2007-07-30,0.00020856599771283134
2007-07-31,0.00015091074883335942
2007-08-01,0.00015025466834394513
2007-08-02,0.00012165764415223613
2007-08-03,0.00010313659766393779
2007-08-06,0.00022273664680843387
2007-08-07,0.0001873924739939745
2007-08-08,0.0001583092506182663
2007-08-09,0.00015085006327002082
2007-08-10,0.0001686169026943062
2007-08-13,0.0001412700254931599
2007-08-14,0.00015575159143037362
2007-08-15,0.0001983987267201106
2007-08-16,0.00022119759522413763
2007-08-17,0.00019401774170318384
2007-08-20,0.00017344940509084295
2007-08-21,0.00014838775912588592
2007-08-22,0.00012841669491938442
2007-08-23,0.0001130311074949437
2007-08-24,0.00013740112150046992
2007-08-27,0.00011834106823102594
2007-08-28,0.00013924456675968463
2007-08-29,0.0002181932601356244
2007-08-30,0.00019274418232798806
2007-08-31,0.0001820687574236917
2007-09-04,0.00015714092215177945
2007-09-05,0.000138352069939377
2007-09-06,0.00016398635009904012
2007-09-07,0.0001406602219401083
2007-09-10,0.00020298803724575515
2007-09-11,0.0001978273492964212
2007-09-12,0.00017192474348494568
2007-09-13,0.00016730476017586606
2007-09-14,0.00014638922077231305
2007-09-17,0.0001277769236166956
2007-09-18,0.00014044965208601933
2007-09-19,0.00015938556377321887
2007-09-20,0.00015952678612432333
2007-09-21,0.00015831961964692275
2007-09-24,0.0001364006708006628
2007-09-25,0.00014173660499366188
2007-09-26,0.00013295556027994896
2007-09-27,0.0001185593064657001
2007-09-28,0.00010658543929753015
2007-10-01,0.00012647251534901157
2007-10-02,0.00011939022729047479
2007-10-03,0.00010721773323930144
2007-10-04,0.00011630455417197116
2007-10-05,0.00010569592602309143
2007-10-08,0.00010381306474846335
2007-10-09,0.00010699768132762402
2007-10-10,9.743240200146296e-05
2007-10-11,9.08001487716882e-05
2007-10-12,0.00011396747751228511
2007-10-15,0.00010554515121091946
2007-10-16,0.000130570746970736
2007-10-17,0.00013623770188589854
2007-10-18,0.00012484704538916037
2007-10-19,0.00011446392613058191
2007-10-22,0.0001858775603762572
2007-10-23,0.00017010070809722432
2007-10-24,0.00015641275242455797
